class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3KxURtKJVxAF,Pietro Aretino,,,,,,,,,,,,,,,,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DBbuJixjJLjY,27.0,Libro terzo de le rime di diversi nobilissimi et eccellentissimi autori nuovamente raccolte,,,,,,,,,,,,,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9R22nChmKScL,celestial body,,,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kEaU6QpCkpAA,star,,,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TPCCdMb4KspG,destiny,,,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Congrega oh cielo ogni Pianeta amico,,,Congrega oh cielo ogni Pianeta amico,Congrega oh cielo ogni Pianeta amico.md,fdQZp4qDmqMf,776342739132745100329,text,,,,,,,,,,,,,,,,,,,,,,,"Congrega oh cielo ogni Pianeta amico,
I larghi influssi, e le cortesi stelle,
Tutte le luci fortunate, e quelle,
Che alcun non mostrar mai segno inimico;

Ragunale tu ciel, mentre ch;'io'l dico;
E de le gratie loro propitie, e belle,
A onta de le sorti empie, e ribelle,
Fanne diadema al glorioso HENRICO.

Benché il suo senno gli è destino, e fato,
Come il proprio valor trompho, e impero;
Tal che può senza te farsi beato.

È ciò voler di Dio fermo, e sincero,
Che regna regnado ei, per regnar nato;
La pietà, la ragion, la fede, e'l vero."
