class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_volume,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,WXWHJZNWk6dY,588483708343442671338,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F023020000101_PPPP00286400C,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,WXWHJZNWk6dY,588483708343442671338,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,WXWHJZNWk6dY,588483708343442671338,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,WXWHJZNWk6dY,588483708343442671338,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJZ7Qau55M9Z,Torquato Tasso,,,,,,,,,,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,WXWHJZNWk6dY,588483708343442671338,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MW7UE9R8m7LS,Torquato Tasso. Per la Illustre Sign. Tarquinia Molza.,39.0,1.0,Il Gareggiamento poetico del Confuso Accademico Ordito,,,,,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,WXWHJZNWk6dY,588483708343442671338,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,WXWHJZNWk6dY,588483708343442671338,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,WXWHJZNWk6dY,588483708343442671338,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,WXWHJZNWk6dY,588483708343442671338,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,WXWHJZNWk6dY,588483708343442671338,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
