class,label,description,aliases,base_name,filename,id,n_id,property,identifier_https,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Oh Bellissimo petto,,,Oh Bellissimo petto,Oh Bellissimo petto.md,2TpSsEs3TAC2,9345771067173292497,identifier,//repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F000390000101_PPPP00011000C,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh Bellissimo petto,,,Oh Bellissimo petto,Oh Bellissimo petto.md,2TpSsEs3TAC2,9345771067173292497,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh Bellissimo petto,,,Oh Bellissimo petto,Oh Bellissimo petto.md,2TpSsEs3TAC2,9345771067173292497,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh Bellissimo petto,,,Oh Bellissimo petto,Oh Bellissimo petto.md,2TpSsEs3TAC2,9345771067173292497,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kUiiaYvUfK7o,Isabella Andreini,,,,,,,,,,,,,,,,,
PoeticWork,Oh Bellissimo petto,,,Oh Bellissimo petto,Oh Bellissimo petto.md,2TpSsEs3TAC2,9345771067173292497,part_of,,,,,,,,,Mad. XX,51.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7Pmih35JHCN,Rime d'Isabella Andreini padovana comica Gelosa,,,,,,,,,,,,,
PoeticWork,Oh Bellissimo petto,,,Oh Bellissimo petto,Oh Bellissimo petto.md,2TpSsEs3TAC2,9345771067173292497,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh Bellissimo petto,,,Oh Bellissimo petto,Oh Bellissimo petto.md,2TpSsEs3TAC2,9345771067173292497,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh Bellissimo petto,,,Oh Bellissimo petto,Oh Bellissimo petto.md,2TpSsEs3TAC2,9345771067173292497,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HfQkYfWDVNZC,departure,,,,,,,,,
PoeticWork,Oh Bellissimo petto,,,Oh Bellissimo petto,Oh Bellissimo petto.md,2TpSsEs3TAC2,9345771067173292497,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,Oh Bellissimo petto,,,Oh Bellissimo petto,Oh Bellissimo petto.md,2TpSsEs3TAC2,9345771067173292497,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Oh Bellissimo petto,,,Oh Bellissimo petto,Oh Bellissimo petto.md,2TpSsEs3TAC2,9345771067173292497,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,Oh Bellissimo petto,,,Oh Bellissimo petto,Oh Bellissimo petto.md,2TpSsEs3TAC2,9345771067173292497,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DEzosFymsuXR,four temperaments,,,
PoeticWork,Oh Bellissimo petto,,,Oh Bellissimo petto,Oh Bellissimo petto.md,2TpSsEs3TAC2,9345771067173292497,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Oh Bellissimo petto,,,Oh Bellissimo petto,Oh Bellissimo petto.md,2TpSsEs3TAC2,9345771067173292497,text,,,,,,,,,,,,,,,,,,,,,,,,,"Oh Bellissimo petto,
Dolce petto amoroso
De l'avido mio sguardo altero oggetto
Per questo caldo humore,
Ond'hor se'rugiadoso
Poiché partir convien rendimi il core.
No no. Fia meglio, ch'io nel duol mi stempre
Pur che'n sì degno albergo ei viva sempre."
