class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_volume,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F023020000101_PPPP00286400C,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,Torquato Tasso,,,,,,,,,,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BwRaqPWUAJzz,Torquato Tasso. Per la Illustre Sign. Tarquinia Molza.,39.0,1.0,Il Gareggiamento poetico del Confuso Accademico Ordito,,,,,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dw8U7c9dKgjv,singing,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6NJTYbJpxnYr,Tirsi,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iUnzyAtvGSK8,river,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hmGaXqatDNBT,dawn,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CN8Enfj3fB4y,water,,,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,language,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Cantava in riva al fiume,,,Cantava in riva al fiume,Cantava in riva al fiume.md,PkREKU5PxNwv,448706752576949268256,text,,,,,,,,,,,,,,,,,,,,,,,,,,"Cantava in riva al fiume
Tirsi d'Eleonora;
E rispondean le selve, e l'onde honora,
E parea mormorando
Dir l'ora, hora, ch'appare
L'Aurora par, che lieta esca dal mare.
Hor chi l'honora amando?
E l'acque insieme ei rami;
Hor chi fia, che l'honori, e che non l'ami?"
