class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,Flori favola boscareccia di Maddalena Campiglia,,,Flori favola boscareccia di Maddalena Campiglia,Flori favola boscareccia di Maddalena Campiglia.md,AcZTTxreq22N,177596064217136837936,identifier,https://edit16.iccu.sbn.it/titolo/CNCE008837,,,,,,,,,,,,,,,,,,,,
Book,Flori favola boscareccia di Maddalena Campiglia,,,Flori favola boscareccia di Maddalena Campiglia,Flori favola boscareccia di Maddalena Campiglia.md,AcZTTxreq22N,177596064217136837936,described_by_source,,,,,,,,,,,,,,,,,,,,,
Book,Flori favola boscareccia di Maddalena Campiglia,,,Flori favola boscareccia di Maddalena Campiglia,Flori favola boscareccia di Maddalena Campiglia.md,AcZTTxreq22N,177596064217136837936,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AYqoxRbyDh4i,pastoral drama,,,,,,,,,,,,,,,,,
Book,Flori favola boscareccia di Maddalena Campiglia,,,Flori favola boscareccia di Maddalena Campiglia,Flori favola boscareccia di Maddalena Campiglia.md,AcZTTxreq22N,177596064217136837936,title,,,,,,,,,,,,,,,,,,,,,
Book,Flori favola boscareccia di Maddalena Campiglia,,,Flori favola boscareccia di Maddalena Campiglia,Flori favola boscareccia di Maddalena Campiglia.md,AcZTTxreq22N,177596064217136837936,inception,,,,,,1588.0,,,,,,,,,,,,,,,
Book,Flori favola boscareccia di Maddalena Campiglia,,,Flori favola boscareccia di Maddalena Campiglia,Flori favola boscareccia di Maddalena Campiglia.md,AcZTTxreq22N,177596064217136837936,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE008837,1588.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TLkQscNVwwqb', 'label': 'Vicenza'}]",https://books.google.it/books?id=UPVV0yzUG8kC,,,,,,,,,,,
Book,Flori favola boscareccia di Maddalena Campiglia,,,Flori favola boscareccia di Maddalena Campiglia,Flori favola boscareccia di Maddalena Campiglia.md,AcZTTxreq22N,177596064217136837936,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HYS6BvhoeALc,Isabella Pallavicino,,,,,,,,
Book,Flori favola boscareccia di Maddalena Campiglia,,,Flori favola boscareccia di Maddalena Campiglia,Flori favola boscareccia di Maddalena Campiglia.md,AcZTTxreq22N,177596064217136837936,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7anjVSBTbe3C,Maddalena Campiglia,,,,,,,,
Book,Flori favola boscareccia di Maddalena Campiglia,,,Flori favola boscareccia di Maddalena Campiglia,Flori favola boscareccia di Maddalena Campiglia.md,AcZTTxreq22N,177596064217136837936,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,,,,,
Book,Flori favola boscareccia di Maddalena Campiglia,,,Flori favola boscareccia di Maddalena Campiglia,Flori favola boscareccia di Maddalena Campiglia.md,AcZTTxreq22N,177596064217136837936,based_on,,,,,,,,,,,,,,,,,,,,,
Book,Flori favola boscareccia di Maddalena Campiglia,,,Flori favola boscareccia di Maddalena Campiglia,Flori favola boscareccia di Maddalena Campiglia.md,AcZTTxreq22N,177596064217136837936,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Book,Flori favola boscareccia di Maddalena Campiglia,,,Flori favola boscareccia di Maddalena Campiglia,Flori favola boscareccia di Maddalena Campiglia.md,AcZTTxreq22N,177596064217136837936,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Flori favola boscareccia di Maddalena Campiglia,,,Flori favola boscareccia di Maddalena Campiglia,Flori favola boscareccia di Maddalena Campiglia.md,AcZTTxreq22N,177596064217136837936,depicts,,,,,,,,,,,,,,,,,,,,,
Book,Flori favola boscareccia di Maddalena Campiglia,,,Flori favola boscareccia di Maddalena Campiglia,Flori favola boscareccia di Maddalena Campiglia.md,AcZTTxreq22N,177596064217136837936,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
