class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label
Agent,['Alessi'],Alexis,Alexis.md,Alexis,HnxuMdc6Fiog,325816665176279002376,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGQNJxxjkLkV,literary character,,,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,HnxuMdc6Fiog,325816665176279002376,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,HnxuMdc6Fiog,325816665176279002376,work_location,,,,,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,HnxuMdc6Fiog,325816665176279002376,member_of,,,,,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,HnxuMdc6Fiog,325816665176279002376,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ddw2PSbVUZ6t,shepherd,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,HnxuMdc6Fiog,325816665176279002376,related_to,,,,,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,HnxuMdc6Fiog,325816665176279002376,notable_work,,,,,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,HnxuMdc6Fiog,325816665176279002376,interested_in,,,,,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,HnxuMdc6Fiog,325816665176279002376,catalog_identifier,,,,,,,,,,,,,,
Agent,['Alessi'],Alexis,Alexis.md,Alexis,HnxuMdc6Fiog,325816665176279002376,present_in_work,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/X8WAmHm6XHuD,Eclogues
