class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,gender_value,work_location_value,member_of_value,occupation_value,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,TdyZG6fXKCLc,528921476166800424373,identifier,http://www.wikidata.org/entity/Q176833,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,TdyZG6fXKCLc,528921476166800424373,described_by_source,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,TdyZG6fXKCLc,528921476166800424373,instance_of,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,TdyZG6fXKCLc,528921476166800424373,gender,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,TdyZG6fXKCLc,528921476166800424373,work_location,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,TdyZG6fXKCLc,528921476166800424373,member_of,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,TdyZG6fXKCLc,528921476166800424373,occupation,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,TdyZG6fXKCLc,528921476166800424373,related_to,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BvdngmrfmwNS,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nEyUNwKcZNxU', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3XnpJ3vZQnbp', 'label': '(Geremicca 2017)'}]",Raffaello da Montelupo,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,TdyZG6fXKCLc,528921476166800424373,notable_work,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,TdyZG6fXKCLc,528921476166800424373,interested_in,,,,,,,,,,,,,,,
Agent,Benedetto Varchi,,,Benedetto Varchi,Benedetto Varchi.md,TdyZG6fXKCLc,528921476166800424373,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",9206.0
