class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_quantity,instrumentation_value,instrumentation_label,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/330290000010101_000000087200C,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CWeR8cBQZAYr,Biagio Buonaccorsi,,,,,,,,,,,,,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BarcvHNHhyjC', 'label': 'Anton Francesco Doni'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,,,,,,,,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rg48ktvfYvix,Dialogo della musica di m. Anton Francesco Doni,,,,,,,,,,,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,instrumentation,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus,,,,,,,,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,instrumentation,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor,,,,,,,,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,instrumentation,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus,,,,,,,,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,instrumentation,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus,,,,,,,,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,text,,,,,,,,,,,,,,,,"Con soave parlar con dolce accento
Sì nel mirarvi
Altro non è il mio amor che 'l proprio inferno
Se 'l tuo partir mi spiacque
Occhi miei lassi,
Mentre gl'ardenti rai cercai fuggir del sole,
Madonna
Deh come pur al fin
Deh dimmi amor,
Poss'io morir
Fra più bei fior d'amanti
Così nel mio parlar voglio esser aspro,
Perché l'inferno è sol vedersi privo
Quanto che più rimiro.",,,,,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,language,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,subject,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TfTjBsLkYTWn,love,,,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,poetic_type,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gHVGjgKjtq6V,woman,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/494MWJWBbbLj,eye,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V9gBMagpTVV8,gaze,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SXrVe27zaz8x,light beam,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UZuCbSwwuwLY,lover,,
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,metre,,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable
MusicComposition,Con soave parlar con dolc'accento (Doni),I could not find the parts inside of Dialogo della musica.,,Con soave parlar con dolc'accento (Doni),Con soave parlar con dolc'accento (Doni).md,YS6TvLQt2Ayh,627794090608769513007,metre,,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable
