class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,depicts_value,depicts_label,metre_value,identifier_value,described_by_source_value,described_by_source_label
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QypSgehNnySf,villanella,,,,,,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PfmM4nEirrZh,Andrea Calmo,,,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ybFxsvJusaH,Lodovico Agostini,,,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aGnhW9VeSa8N,Musica di Lodovico Agostini ferrarese sopra le rime bizzarre di m. Andrea Calmo,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,instrumentation,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,based_on,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,derivative_work,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,text,,,,,,,,,,,"Son vecchio innamorao
E volentiera,
M'alliegro e canto sono de lauto
E non in tel mio horto,
Sunado fighi
I bianchi negri e zali.
Può tutti quanti i dago per tributo
Al viso de Lionora.
Ch'amando me desseca de hora in hora.",,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,language,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SUJFCY5REehL,Venetian,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ye88EjEg6hpa,commedia dell'arte,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B23Vk5xdu2BR,bizzarria,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,poetic_type,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QakAVhWbM8b9,lute,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4fRE7J9jYy6N,music making,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ncorLEqotTVc,Pantalone,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Af5NyLo5WJPc,woman,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,metre,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,identifier,,,,,,,,,,,,,,,,,,,,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F274790000010101_000000002400C,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),AiBuRQ9EWD3z,179631424168737148652,described_by_source,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM
