class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,2WkCBmYy3BbW,10404828061946433928,identifier,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,2WkCBmYy3BbW,10404828061946433928,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WShmLq8ZHqk5,"Le nobiltà, et eccellenze delle donne",,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,2WkCBmYy3BbW,10404828061946433928,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,2WkCBmYy3BbW,10404828061946433928,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,2WkCBmYy3BbW,10404828061946433928,work_location,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,2WkCBmYy3BbW,10404828061946433928,member_of,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,2WkCBmYy3BbW,10404828061946433928,occupation,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,2WkCBmYy3BbW,10404828061946433928,related_to,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,2WkCBmYy3BbW,10404828061946433928,notable_work,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,2WkCBmYy3BbW,10404828061946433928,interested_in,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,2WkCBmYy3BbW,10404828061946433928,catalog_identifier,,,,,,,,,,,,,,,
Agent,Orazio Visdomini,,,Orazio Visdomini,Orazio Visdomini.md,2WkCBmYy3BbW,10404828061946433928,present_in_work,,,,,,,,,,,,,,,
