class,aliases,base_name,filename,label,id,n_id,property,part_of_value,citation_value,isbn_value,identifier_value
BibliographicResource,['strasGiocoSiConosce2005'],(Stras 2005),(Stras 2005).md,(Stras 2005),hVaqWot6RNoW,814783536041562953596,part_of,,,,
BibliographicResource,['strasGiocoSiConosce2005'],(Stras 2005),(Stras 2005).md,(Stras 2005),hVaqWot6RNoW,814783536041562953596,citation,,"Stras, Laurie. 2005. ‘“Al Gioco Si Conosce Il Galantuomo”: Artifice, Humour and Play in the “Enigmi Musicali” of Don Lodovico Agostini’. Early Music History 24. Cambridge University Press: 213–86. http://www.jstor.org/stable/3874744.",,
BibliographicResource,['strasGiocoSiConosce2005'],(Stras 2005),(Stras 2005).md,(Stras 2005),hVaqWot6RNoW,814783536041562953596,isbn,,,,
BibliographicResource,['strasGiocoSiConosce2005'],(Stras 2005),(Stras 2005).md,(Stras 2005),hVaqWot6RNoW,814783536041562953596,identifier,,,,http://www.jstor.org/stable/3874744
