class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Chi vuol conoscer, Donne, il mio Signore",,,"Chi vuol conoscer, Donne, il mio Signore","Chi vuol conoscer, Donne, il mio Signore.md",Rxc5T4DnFKdf,494391830380726714594,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi vuol conoscer, Donne, il mio Signore",,,"Chi vuol conoscer, Donne, il mio Signore","Chi vuol conoscer, Donne, il mio Signore.md",Rxc5T4DnFKdf,494391830380726714594,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi vuol conoscer, Donne, il mio Signore",,,"Chi vuol conoscer, Donne, il mio Signore","Chi vuol conoscer, Donne, il mio Signore.md",Rxc5T4DnFKdf,494391830380726714594,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi vuol conoscer, Donne, il mio Signore",,,"Chi vuol conoscer, Donne, il mio Signore","Chi vuol conoscer, Donne, il mio Signore.md",Rxc5T4DnFKdf,494391830380726714594,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dGUWfMNNCYuo,Gaspara Stampa,,,,,,,,,,,,,,,,,
PoeticWork,"Chi vuol conoscer, Donne, il mio Signore",,,"Chi vuol conoscer, Donne, il mio Signore","Chi vuol conoscer, Donne, il mio Signore.md",Rxc5T4DnFKdf,494391830380726714594,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ENUbQJ8t6z8B,Gaspara Stampa,78.0,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,,,,,,,,,,,
PoeticWork,"Chi vuol conoscer, Donne, il mio Signore",,,"Chi vuol conoscer, Donne, il mio Signore","Chi vuol conoscer, Donne, il mio Signore.md",Rxc5T4DnFKdf,494391830380726714594,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi vuol conoscer, Donne, il mio Signore",,,"Chi vuol conoscer, Donne, il mio Signore","Chi vuol conoscer, Donne, il mio Signore.md",Rxc5T4DnFKdf,494391830380726714594,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi vuol conoscer, Donne, il mio Signore",,,"Chi vuol conoscer, Donne, il mio Signore","Chi vuol conoscer, Donne, il mio Signore.md",Rxc5T4DnFKdf,494391830380726714594,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3eQerXqUEkt2,juxtaposition,,,,,,,,,
PoeticWork,"Chi vuol conoscer, Donne, il mio Signore",,,"Chi vuol conoscer, Donne, il mio Signore","Chi vuol conoscer, Donne, il mio Signore.md",Rxc5T4DnFKdf,494391830380726714594,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
PoeticWork,"Chi vuol conoscer, Donne, il mio Signore",,,"Chi vuol conoscer, Donne, il mio Signore","Chi vuol conoscer, Donne, il mio Signore.md",Rxc5T4DnFKdf,494391830380726714594,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
