class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Flora Zuzzeri,,['Cvijeta Zuzorić'],Flora Zuzzeri,Flora Zuzzeri.md,2hE2ZsuJLTNE,14195579783490178353,identifier,http://www.wikidata.org/entity/Q1272744,,,,,,,,,,,,,,,
Agent,Flora Zuzzeri,,['Cvijeta Zuzorić'],Flora Zuzzeri,Flora Zuzzeri.md,2hE2ZsuJLTNE,14195579783490178353,described_by_source,,,,,,,,,,,,,,,,
Agent,Flora Zuzzeri,,['Cvijeta Zuzorić'],Flora Zuzzeri,Flora Zuzzeri.md,2hE2ZsuJLTNE,14195579783490178353,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Flora Zuzzeri,,['Cvijeta Zuzorić'],Flora Zuzzeri,Flora Zuzzeri.md,2hE2ZsuJLTNE,14195579783490178353,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,
Agent,Flora Zuzzeri,,['Cvijeta Zuzorić'],Flora Zuzzeri,Flora Zuzzeri.md,2hE2ZsuJLTNE,14195579783490178353,work_location,,,,,,,,,,,,,,,,
Agent,Flora Zuzzeri,,['Cvijeta Zuzorić'],Flora Zuzzeri,Flora Zuzzeri.md,2hE2ZsuJLTNE,14195579783490178353,member_of,,,,,,,,,,,,,,,,
Agent,Flora Zuzzeri,,['Cvijeta Zuzorić'],Flora Zuzzeri,Flora Zuzzeri.md,2hE2ZsuJLTNE,14195579783490178353,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Flora Zuzzeri,,['Cvijeta Zuzorić'],Flora Zuzzeri,Flora Zuzzeri.md,2hE2ZsuJLTNE,14195579783490178353,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,Torquato Tasso,,,,
Agent,Flora Zuzzeri,,['Cvijeta Zuzorić'],Flora Zuzzeri,Flora Zuzzeri.md,2hE2ZsuJLTNE,14195579783490178353,notable_work,,,,,,,,,,,,,,,,
Agent,Flora Zuzzeri,,['Cvijeta Zuzorić'],Flora Zuzzeri,Flora Zuzzeri.md,2hE2ZsuJLTNE,14195579783490178353,interested_in,,,,,,,,,,,,,,,,
Agent,Flora Zuzzeri,,['Cvijeta Zuzorić'],Flora Zuzzeri,Flora Zuzzeri.md,2hE2ZsuJLTNE,14195579783490178353,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Flora Zuzzeri,,['Cvijeta Zuzorić'],Flora Zuzzeri,Flora Zuzzeri.md,2hE2ZsuJLTNE,14195579783490178353,present_in_work,,,,,,,,,,,,,,,,
