class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publication_date,has_version_note,contributor_role,contributor_value,contributor_note,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value
Book,"La Gismonda, tragedia del signor Torquato Tasso",,,"La Gismonda, tragedia del signor Torquato Tasso","La Gismonda, tragedia del signor Torquato Tasso.md",NFW6QDvSgCJh,417602761237728983445,identifier,https://edit16.iccu.sbn.it/titolo/CNCE071587,,,,,,,,,,,,,,,,,,
Book,"La Gismonda, tragedia del signor Torquato Tasso",,,"La Gismonda, tragedia del signor Torquato Tasso","La Gismonda, tragedia del signor Torquato Tasso.md",NFW6QDvSgCJh,417602761237728983445,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,
Book,"La Gismonda, tragedia del signor Torquato Tasso",,,"La Gismonda, tragedia del signor Torquato Tasso","La Gismonda, tragedia del signor Torquato Tasso.md",NFW6QDvSgCJh,417602761237728983445,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TxUhBPCn3SQb,drama,,,,,,,,,,,,,,
Book,"La Gismonda, tragedia del signor Torquato Tasso",,,"La Gismonda, tragedia del signor Torquato Tasso","La Gismonda, tragedia del signor Torquato Tasso.md",NFW6QDvSgCJh,417602761237728983445,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dkhz3rcSxQsh,forgery,,,,,,,,,,,,,,
Book,"La Gismonda, tragedia del signor Torquato Tasso",,,"La Gismonda, tragedia del signor Torquato Tasso","La Gismonda, tragedia del signor Torquato Tasso.md",NFW6QDvSgCJh,417602761237728983445,title,,,,,,"La Gismonda, tragedia del signor Torquato Tasso nuovamente composta et posta in luce",,,,,,,,,,,,,
Book,"La Gismonda, tragedia del signor Torquato Tasso",,,"La Gismonda, tragedia del signor Torquato Tasso","La Gismonda, tragedia del signor Torquato Tasso.md",NFW6QDvSgCJh,417602761237728983445,inception,,,,,,,1587.0,,,,,,,,,,,,
Book,"La Gismonda, tragedia del signor Torquato Tasso",,,"La Gismonda, tragedia del signor Torquato Tasso","La Gismonda, tragedia del signor Torquato Tasso.md",NFW6QDvSgCJh,417602761237728983445,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE071587,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dhbQrFWynqRh', 'label': 'Paris'}]",1587.0,Attributed to Torquato Tasso,,,,,,,,
Book,"La Gismonda, tragedia del signor Torquato Tasso",,,"La Gismonda, tragedia del signor Torquato Tasso","La Gismonda, tragedia del signor Torquato Tasso.md",NFW6QDvSgCJh,417602761237728983445,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jR5hhUB8LvPv,According to (Ferrone 2021).,Bernardino Lombardi,,,,
Book,"La Gismonda, tragedia del signor Torquato Tasso",,,"La Gismonda, tragedia del signor Torquato Tasso","La Gismonda, tragedia del signor Torquato Tasso.md",NFW6QDvSgCJh,417602761237728983445,subject,,,,,,,,,,,,,,,,,,,
Book,"La Gismonda, tragedia del signor Torquato Tasso",,,"La Gismonda, tragedia del signor Torquato Tasso","La Gismonda, tragedia del signor Torquato Tasso.md",NFW6QDvSgCJh,417602761237728983445,based_on,,,,,,,,,,,,,,,,,,,
Book,"La Gismonda, tragedia del signor Torquato Tasso",,,"La Gismonda, tragedia del signor Torquato Tasso","La Gismonda, tragedia del signor Torquato Tasso.md",NFW6QDvSgCJh,417602761237728983445,catalog_identifier,,,,,,,,,,,,,,,,,,,
Book,"La Gismonda, tragedia del signor Torquato Tasso",,,"La Gismonda, tragedia del signor Torquato Tasso","La Gismonda, tragedia del signor Torquato Tasso.md",NFW6QDvSgCJh,417602761237728983445,has_part,,,,,,,,,,,,,,,,,,,
