class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Federico Asinari,,['Federica Asinari di Camerano'],Federico Asinari,Federico Asinari.md,ZcVHwVX7diX3,652195295417092866982,identifier,http://www.wikidata.org/entity/Q110368972,,,,,,,,,,,,,,,,
Agent,Federico Asinari,,['Federica Asinari di Camerano'],Federico Asinari,Federico Asinari.md,ZcVHwVX7diX3,652195295417092866982,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,
Agent,Federico Asinari,,['Federica Asinari di Camerano'],Federico Asinari,Federico Asinari.md,ZcVHwVX7diX3,652195295417092866982,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Federico Asinari,,['Federica Asinari di Camerano'],Federico Asinari,Federico Asinari.md,ZcVHwVX7diX3,652195295417092866982,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Federico Asinari,,['Federica Asinari di Camerano'],Federico Asinari,Federico Asinari.md,ZcVHwVX7diX3,652195295417092866982,work_location,,,,,,,,,,,,,,,,,
Agent,Federico Asinari,,['Federica Asinari di Camerano'],Federico Asinari,Federico Asinari.md,ZcVHwVX7diX3,652195295417092866982,member_of,,,,,,,,,,,,,,,,,
Agent,Federico Asinari,,['Federica Asinari di Camerano'],Federico Asinari,Federico Asinari.md,ZcVHwVX7diX3,652195295417092866982,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,,
Agent,Federico Asinari,,['Federica Asinari di Camerano'],Federico Asinari,Federico Asinari.md,ZcVHwVX7diX3,652195295417092866982,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/65G5PeyB3GE6,playwright,,,,,,
Agent,Federico Asinari,,['Federica Asinari di Camerano'],Federico Asinari,Federico Asinari.md,ZcVHwVX7diX3,652195295417092866982,related_to,,,,,,,,,,,,,,,,,
Agent,Federico Asinari,,['Federica Asinari di Camerano'],Federico Asinari,Federico Asinari.md,ZcVHwVX7diX3,652195295417092866982,notable_work,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SBUn98fwoDjc,Il Tancredi. Tragedia del signor conte di Camerano,,,
Agent,Federico Asinari,,['Federica Asinari di Camerano'],Federico Asinari,Federico Asinari.md,ZcVHwVX7diX3,652195295417092866982,interested_in,,,,,,,,,,,,,,,,,
Agent,Federico Asinari,,['Federica Asinari di Camerano'],Federico Asinari,Federico Asinari.md,ZcVHwVX7diX3,652195295417092866982,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Federico Asinari,,['Federica Asinari di Camerano'],Federico Asinari,Federico Asinari.md,ZcVHwVX7diX3,652195295417092866982,present_in_work,,,,,,,,,,,,,,,,,
