class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,2YQzcFykWbWq,11007039085433751020,identifier,http://www.wikidata.org/entity/Q591939,,,,,,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,2YQzcFykWbWq,11007039085433751020,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,2YQzcFykWbWq,11007039085433751020,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,2YQzcFykWbWq,11007039085433751020,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,2YQzcFykWbWq,11007039085433751020,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq,Napoli,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,2YQzcFykWbWq,11007039085433751020,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR,Ferrara,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,2YQzcFykWbWq,11007039085433751020,member_of,,,,,,,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,2YQzcFykWbWq,11007039085433751020,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,2YQzcFykWbWq,11007039085433751020,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oVgX4nooPy2A,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Q3VtFUAxVKyf', 'label': 'lover'}",Tarquinia Molza,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,2YQzcFykWbWq,11007039085433751020,notable_work,,,,,,,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,2YQzcFykWbWq,11007039085433751020,interested_in,,,,,,,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,2YQzcFykWbWq,11007039085433751020,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,2YQzcFykWbWq,11007039085433751020,present_in_work,,,,,,,,,,,,,,,,,,
