class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value
Organisation,Accademia Ferrarese,,,Accademia Ferrarese,Accademia Ferrarese.md,SKY9gUUjq3sd,501607563124453555061,identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia Ferrarese,,,Accademia Ferrarese,Accademia Ferrarese.md,SKY9gUUjq3sd,501607563124453555061,described_by_source,,,,,,,,,,,,,,,,,
Organisation,Accademia Ferrarese,,,Accademia Ferrarese,Accademia Ferrarese.md,SKY9gUUjq3sd,501607563124453555061,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,
Organisation,Accademia Ferrarese,,,Accademia Ferrarese,Accademia Ferrarese.md,SKY9gUUjq3sd,501607563124453555061,inception,,,,,1570.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia Ferrarese,,,Accademia Ferrarese,Accademia Ferrarese.md,SKY9gUUjq3sd,501607563124453555061,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia Ferrarese,,,Accademia Ferrarese,Accademia Ferrarese.md,SKY9gUUjq3sd,501607563124453555061,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,
Organisation,Accademia Ferrarese,,,Accademia Ferrarese,Accademia Ferrarese.md,SKY9gUUjq3sd,501607563124453555061,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia Ferrarese,,,Accademia Ferrarese,Accademia Ferrarese.md,SKY9gUUjq3sd,501607563124453555061,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",515.0,,,,,
Organisation,Accademia Ferrarese,,,Accademia Ferrarese,Accademia Ferrarese.md,SKY9gUUjq3sd,501607563124453555061,member,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Torquato Tasso,,
Organisation,Accademia Ferrarese,,,Accademia Ferrarese,Accademia Ferrarese.md,SKY9gUUjq3sd,501607563124453555061,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia Ferrarese,,,Accademia Ferrarese,Accademia Ferrarese.md,SKY9gUUjq3sd,501607563124453555061,notable_work,,,,,,,,,,,,,,,,,
