class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,depicts_value,depicts_label,metre_value,metre_label,identifier_value,described_by_source_value,described_by_source_label
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),gDijwKPDkgtG,788405293860675499496,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QypSgehNnySf,villanella,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),gDijwKPDkgtG,788405293860675499496,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gFBshLVTMG7b,incomplete,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),gDijwKPDkgtG,788405293860675499496,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PfmM4nEirrZh,Andrea Calmo,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),gDijwKPDkgtG,788405293860675499496,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ybFxsvJusaH,Lodovico Agostini,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),gDijwKPDkgtG,788405293860675499496,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aGnhW9VeSa8N,Musica di Lodovico Agostini ferrarese sopra le rime bizzarre di m. Andrea Calmo,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),gDijwKPDkgtG,788405293860675499496,instrumentation,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),gDijwKPDkgtG,788405293860675499496,based_on,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),gDijwKPDkgtG,788405293860675499496,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),gDijwKPDkgtG,788405293860675499496,text,,,,,,,,,,,"Amor m'ha bastonat cum la so mescola 
Per u vi set de merda di na zovena, 
Che m'ha scarpart tugh'ol polmon 
Cun l'anima Senza podì mai dì, 
Che fet mandragola
Me sborì ados, che mai senti tal furia,
Dof che son pez che l'asen dol Mercurio.",,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),gDijwKPDkgtG,788405293860675499496,language,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SUJFCY5REehL,Venetian,,,,,,,,,,
