class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,opposite_of_value,opposite_of_label
Concept,employee,,,employee,employee.md,if96csvqzEk3,838876203114768375301,identifier,http://www.wikidata.org/entity/Q703534,,,
Concept,employee,,,employee,employee.md,if96csvqzEk3,838876203114768375301,described_by_source,,,,
Concept,employee,,,employee,employee.md,if96csvqzEk3,838876203114768375301,opposite_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MxfZndFYHEtn,employer
