class,base_name,filename,label,id,n_id,property,instance_of_value,subclass_of_value,opposite_of_value,identifier_value
Concept,discovery,discovery.md,discovery,e6gvuCqGBEJ3,744587779417008468826,instance_of,,,,
Concept,discovery,discovery.md,discovery,e6gvuCqGBEJ3,744587779417008468826,subclass_of,,,,
Concept,discovery,discovery.md,discovery,e6gvuCqGBEJ3,744587779417008468826,opposite_of,,,,
Concept,discovery,discovery.md,discovery,e6gvuCqGBEJ3,744587779417008468826,identifier,,,,http://www.wikidata.org/entity/Q12772819
