class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,mYCmgY4UpPfz,898273076734341433598,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,mYCmgY4UpPfz,898273076734341433598,inception,,,1540.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,mYCmgY4UpPfz,898273076734341433598,dissolved,,,,,1541.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,mYCmgY4UpPfz,898273076734341433598,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,mYCmgY4UpPfz,898273076734341433598,official_website,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,mYCmgY4UpPfz,898273076734341433598,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",512.0,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,mYCmgY4UpPfz,898273076734341433598,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wx2S3JYJxpZo,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Ortensio Lando,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,mYCmgY4UpPfz,898273076734341433598,interested_in,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,mYCmgY4UpPfz,898273076734341433598,notable_work,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,mYCmgY4UpPfz,898273076734341433598,related_to,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Elevati di Ferrara,Accademia degli Elevati di Ferrara.md,Accademia degli Elevati di Ferrara,mYCmgY4UpPfz,898273076734341433598,motto,,,,,,,,,,,,,,,,,,
