class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F095900000010101_000000211200C,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL,(Stras 2018),,,,,,,,,,,,,,,,,,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ASH2gWgAmJJD,Renée of Valois,,,,,,,,,,,,,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MaxTYmUANWX3,Cipriano de Rore,,,,,,,,,,,,,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AAWDDvSdnwKX,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,,,,,,,,,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,instrumentation,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,based_on,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,text,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,language,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MBptbaisTtE6,French,,,,,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8CJumkhmB57N,abandonment,,,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EhFuVpKyjLFt,travel,,,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,poetic_type,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gHVGjgKjtq6V,woman,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Suq86ApyHSzQ,weeping,
MusicComposition,En vos adieux dames (Rore),,,En vos adieux dames (Rore),En vos adieux dames (Rore).md,nWiZMD3P4TGj,918374078877899152709,metre,,,,,,,,,,,,,,,,,,,,,,,
