class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label
Concept,bizzarria,"L’esser bizzarro, stranezza, stravaganza, originalità",,bizzarria,bizzarria.md,B23Vk5xdu2BR,185732541328036951166,identifier,https://www.treccani.it/vocabolario/bizzarria/,,
Concept,bizzarria,"L’esser bizzarro, stranezza, stravaganza, originalità",,bizzarria,bizzarria.md,B23Vk5xdu2BR,185732541328036951166,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KEAbER5X4vXV,Treccani Vocabulary
