class,label,base_name,filename,id,n_id,property,instance_of_value,subclass_of_value,identifier_value
Concept,epistolary literature,epistolary literature,epistolary literature.md,LYHHrTeytuwp,382404236099906376826,instance_of,,,
Concept,epistolary literature,epistolary literature,epistolary literature.md,LYHHrTeytuwp,382404236099906376826,subclass_of,,,
Concept,epistolary literature,epistolary literature,epistolary literature.md,LYHHrTeytuwp,382404236099906376826,identifier,,,http://www.wikidata.org/entity/Q3491641
