class,base_name,filename,label,id,n_id,property,identifier_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,b9EEWzfgsepR,683596541164364414369,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/025810000101_PPPP00260406,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,b9EEWzfgsepR,683596541164364414369,instance_of,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,b9EEWzfgsepR,683596541164364414369,contributor,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AjNf7Seeiq55,Jacopo Sannazaro,,,,,,,,,,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,b9EEWzfgsepR,683596541164364414369,part_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EFuUKGrphXjs,Egloga V,Arcadia del Sannazaro,,,,,,,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,b9EEWzfgsepR,683596541164364414369,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,b9EEWzfgsepR,683596541164364414369,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,b9EEWzfgsepR,683596541164364414369,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kVrAkrexneyx,pastoral,,,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,b9EEWzfgsepR,683596541164364414369,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mnb2BoNNxo5h,eclogue,,,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,b9EEWzfgsepR,683596541164364414369,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,b9EEWzfgsepR,683596541164364414369,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,b9EEWzfgsepR,683596541164364414369,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bDmTfHcyfkqv,shepherd,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,b9EEWzfgsepR,683596541164364414369,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MiEZVRza7UDo,celestial body,,,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,b9EEWzfgsepR,683596541164364414369,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Alma beata e bella,Alma beata e bella.md,Alma beata e bella,b9EEWzfgsepR,683596541164364414369,text,,,,,,,,,,,,,,,,,,,,,,"Alma beata e bella,
Che da' legami sciolta
Nuda salisti ne' superni chiostri,
Ove con la tua stella
Ti godi insieme accolta;
E lieta ivi schernendo i pensier' nostri,
Quasi un bel sol ti mostri
Tra li più chiari spirti;
E coi vestigi santi
Calchi le stelle erranti;
E tra pure fontane e sacri mirti
Pasci celesti greggi,
E i tuoi cari pastori indi correggi."
