class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_external_source,has_version_publication_date,has_version_place_of_publication,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti.md,2TJweZdSVTg3,9158433883852631479,identifier,https://edit16.iccu.sbn.it/titolo/CNCE039437,,,,,,,,,,,,,,,,,,
Book,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti.md,2TJweZdSVTg3,9158433883852631479,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/009060010,,,,,,,,,,,,,,,,,,
Book,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti.md,2TJweZdSVTg3,9158433883852631479,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,
Book,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti.md,2TJweZdSVTg3,9158433883852631479,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,
Book,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti.md,2TJweZdSVTg3,9158433883852631479,title,,,,,,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,,,,,,,,,,,
Book,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti.md,2TJweZdSVTg3,9158433883852631479,inception,,,,,,,,,,,,,,,,,,,
Book,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti.md,2TJweZdSVTg3,9158433883852631479,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE039437,https://hdl.handle.net/2027/ucm.532383955x,1552.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3PdiuPhFyc6Q', 'label': 'Giovanni Andrea Valvassore'}",,,,,,,
Book,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti.md,2TJweZdSVTg3,9158433883852631479,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8cwGVT3ZREMt,Laura Terracina,,,,
Book,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti.md,2TJweZdSVTg3,9158433883852631479,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LYHHrTeytuwp,epistolary literature,,
Book,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti.md,2TJweZdSVTg3,9158433883852631479,has_part,,,,,,,,,,,,,,,,,,,
Book,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti.md,2TJweZdSVTg3,9158433883852631479,based_on,,,,,,,,,,,,,,,,,,,
