class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,opposite_of_value,identifier_value
Concept,macaronic language,macaronic language.md,macaronic language,5TbsBoiCPSeZ,71173610400371623078,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jh8gsPV8qSg8,language,,,
Concept,macaronic language,macaronic language.md,macaronic language,5TbsBoiCPSeZ,71173610400371623078,subclass_of,,,,,
Concept,macaronic language,macaronic language.md,macaronic language,5TbsBoiCPSeZ,71173610400371623078,opposite_of,,,,,
Concept,macaronic language,macaronic language.md,macaronic language,5TbsBoiCPSeZ,71173610400371623078,identifier,,,,,http://www.wikidata.org/entity/Q154247
