class,label,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label,identifier_value
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bgExG22ootgh,Ottavio Tronsarelli,,,,,,,,,,,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DzT52g7L9k39,Alla Signoraa Angelica N. sonatrice,182.0,Rime di Ottavio Tronsarelli,,,,,,,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aPTpWcuQe7Uj,musician,,,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gHVGjgKjtq6V,woman,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aPTpWcuQe7Uj,musician,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,text,,,,,,,,,,,,,,,,,,,,"Angelica, se'l mondo
Con occulti tormenti
E vivo Inferno di pensier nocenti,
Per te solo il mio petto
Di contento è ricetto;
Poiché, con suon giocondo,
Temprando i pensier miei,
Ne l'Inferno de' vivi Angiola sei.",,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",k5yyefVCJMtL,868149426174988183440,identifier,,,,,,,,,,,,,,,,,,,,,,,
