class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,has_version_publication_date,has_version_publisher,has_version_place_of_publication,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,Be5BKb6mHdTu,198776390586017168736,identifier,https://rism.online/sources/990057577,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,Be5BKb6mHdTu,198776390586017168736,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV19280010,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,Be5BKb6mHdTu,198776390586017168736,identifier,https://edit16.iccu.sbn.it/titolo/CNCE045364,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,Be5BKb6mHdTu,198776390586017168736,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,Be5BKb6mHdTu,198776390586017168736,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,Be5BKb6mHdTu,198776390586017168736,title,,,,,,Madrigali a cinque voci di Alessandro Savioli maestro di capella in Santo Alessandro di Bergamo. Libro secondo,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,Be5BKb6mHdTu,198776390586017168736,inception,,,,,,,1597.0,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,Be5BKb6mHdTu,198776390586017168736,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE045364,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AvQFKtHEh7xp', 'label': 'Public Library Leipzig'}",https://sachsen.digital/werkansicht?tx_dlf[id]=8546,https://iiif.slub-dresden.de/iiif/2/456284141/manifest.json,1597.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h98jfRjMidFB', 'label': 'Ricciardo Amadino'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,Be5BKb6mHdTu,198776390586017168736,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Coe4EZoav6nc,Alessandro Savioli,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,Be5BKb6mHdTu,198776390586017168736,subject,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,Be5BKb6mHdTu,198776390586017168736,has_part,,,,,,,,,,,,,,,,,,,,,,
