class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,TgkvPDmNoYZg,529927361095928439956,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,TgkvPDmNoYZg,529927361095928439956,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,TgkvPDmNoYZg,529927361095928439956,work_location,,,,,,,,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,TgkvPDmNoYZg,529927361095928439956,member_of,,,,,,,,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,TgkvPDmNoYZg,529927361095928439956,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Gup4VoeXGR57,politician,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,TgkvPDmNoYZg,529927361095928439956,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dRxARf6J8xhS,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HfrQcprw9i6S', 'label': 'parent'}",Louis XIII of France,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,TgkvPDmNoYZg,529927361095928439956,notable_work,,,,,,,,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,TgkvPDmNoYZg,529927361095928439956,interested_in,,,,,,,,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,TgkvPDmNoYZg,529927361095928439956,catalog_identifier,,,,,,,,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,TgkvPDmNoYZg,529927361095928439956,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q182021
