class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_value,member_role,member_value,member_reference,member_label,interested_in_value,notable_work_value
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,mXyV74TVm8LR,898195010866294102439,identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,mXyV74TVm8LR,898195010866294102439,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH,(Tostini 2017),,,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,mXyV74TVm8LR,898195010866294102439,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,mXyV74TVm8LR,898195010866294102439,inception,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,mXyV74TVm8LR,898195010866294102439,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,mXyV74TVm8LR,898195010866294102439,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B3Q5VLN5BsJC,Ancona,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,mXyV74TVm8LR,898195010866294102439,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,mXyV74TVm8LR,898195010866294102439,catalog_identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,mXyV74TVm8LR,898195010866294102439,member,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BMqAigBp8uEo,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH', 'label': '(Tostini 2017)'}]",Prospero Bonarelli della Rovere,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,mXyV74TVm8LR,898195010866294102439,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,mXyV74TVm8LR,898195010866294102439,notable_work,,,,,,,,,,,,,,,,,
