class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,country_value,identifier_value
Place,['Italia'],Italy,Italy.md,Italy,R4DkJ4Zkas7S,475424341675060815687,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bNybz8kUGyM,country,,
Place,['Italia'],Italy,Italy.md,Italy,R4DkJ4Zkas7S,475424341675060815687,country,,,,
Place,['Italia'],Italy,Italy.md,Italy,R4DkJ4Zkas7S,475424341675060815687,identifier,,,,http://www.wikidata.org/entity/Q38
