class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,VbtzBMrKaKTG,569440228455577108403,identifier,http://www.wikidata.org/entity/Q1091136,,,,,,,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,VbtzBMrKaKTG,569440228455577108403,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKGEnQvmmxYg,(Tostini 2017),,,,,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,VbtzBMrKaKTG,569440228455577108403,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,VbtzBMrKaKTG,569440228455577108403,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,VbtzBMrKaKTG,569440228455577108403,work_location,,,,,,,,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,VbtzBMrKaKTG,569440228455577108403,member_of,,,,,,,,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,VbtzBMrKaKTG,569440228455577108403,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,VbtzBMrKaKTG,569440228455577108403,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JtXDRUo7kviy,painter,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,VbtzBMrKaKTG,569440228455577108403,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nMAehWb3F4ta,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/if96csvqzEk3', 'label': 'employee'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKGEnQvmmxYg', 'label': '(Tostini 2017)'}]",Accademia degli Umoristi di Roma,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,VbtzBMrKaKTG,569440228455577108403,notable_work,,,,,,,,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,VbtzBMrKaKTG,569440228455577108403,interested_in,,,,,,,,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,VbtzBMrKaKTG,569440228455577108403,catalog_identifier,,,,,,,,,,,,,,,,,,
