class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,hpfZp93oB59K,821692177638344132744,identifier,http://www.wikidata.org/entity/Q823060,,,,,,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,hpfZp93oB59K,821692177638344132744,described_by_source,,,,,,,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,hpfZp93oB59K,821692177638344132744,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,hpfZp93oB59K,821692177638344132744,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,hpfZp93oB59K,821692177638344132744,work_location,,,,,,,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,hpfZp93oB59K,821692177638344132744,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ja3o7UfjoiHn,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Accademia Veneziana,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,hpfZp93oB59K,821692177638344132744,occupation,,,,,,,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,hpfZp93oB59K,821692177638344132744,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJZ7Qau55M9Z,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HfrQcprw9i6S', 'label': 'parent'}",Torquato Tasso,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,hpfZp93oB59K,821692177638344132744,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,hpfZp93oB59K,821692177638344132744,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,hpfZp93oB59K,821692177638344132744,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",5625.0,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,hpfZp93oB59K,821692177638344132744,present_in_work,,,,,,,,,,,,,,,,,,,
