class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Vittoria Aleotti,Vittoria Aleotti.md,Vittoria Aleotti,hur8pveC6EXe,823569426212239006305,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,Vittoria Aleotti,hur8pveC6EXe,823569426212239006305,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,Vittoria Aleotti,hur8pveC6EXe,823569426212239006305,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,Vittoria Aleotti,hur8pveC6EXe,823569426212239006305,member_of,,,,,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,Vittoria Aleotti,hur8pveC6EXe,823569426212239006305,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Z6wHiMofdhxP,Christian nun,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,Vittoria Aleotti,hur8pveC6EXe,823569426212239006305,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,Vittoria Aleotti,hur8pveC6EXe,823569426212239006305,related_to,,,,,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,Vittoria Aleotti,hur8pveC6EXe,823569426212239006305,notable_work,,,,,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,Vittoria Aleotti,hur8pveC6EXe,823569426212239006305,interested_in,,,,,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,Vittoria Aleotti,hur8pveC6EXe,823569426212239006305,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,Vittoria Aleotti,hur8pveC6EXe,823569426212239006305,present_in_work,,,,,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,Vittoria Aleotti,hur8pveC6EXe,823569426212239006305,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q2707991,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,Vittoria Aleotti,hur8pveC6EXe,823569426212239006305,described_by_source,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL,(Stras 2018)
