class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_value,member_value,member_reference,member_label,member_start_date,member_end_date,interested_in_value,interested_in_label,notable_work_value
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,PcSAmp3XwxFu,445816443182765829201,identifier,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,PcSAmp3XwxFu,445816443182765829201,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gpfw2DBaozXw,(Braghi 2011),,,,,,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,PcSAmp3XwxFu,445816443182765829201,instance_of,,,,[[academy]],,,,,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,PcSAmp3XwxFu,445816443182765829201,inception,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,PcSAmp3XwxFu,445816443182765829201,dissolved,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,PcSAmp3XwxFu,445816443182765829201,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GZKk5v5DuKWT,Piacenza,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,PcSAmp3XwxFu,445816443182765829201,official_website,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,PcSAmp3XwxFu,445816443182765829201,catalog_identifier,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,PcSAmp3XwxFu,445816443182765829201,member,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S6k4cZpBdTPw,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7VwEEvbhjKZB', 'label': '(Moroncini 2017)'}]",Lodovico Domenichi,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,PcSAmp3XwxFu,445816443182765829201,member,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJaARznhrRx9,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZifaaoQeYVLT', 'label': '(Girotto 2017)'}]",Anton Francesco Doni,1543.0,1544.0,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,PcSAmp3XwxFu,445816443182765829201,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,heterodoxy,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,PcSAmp3XwxFu,445816443182765829201,notable_work,,,,,,,,,,,,,,,,,,
