class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,XQbqKKHwUGVR,606620699431091478491,identifier,http://www.wikidata.org/entity/Q823033,,,,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,XQbqKKHwUGVR,606620699431091478491,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,XQbqKKHwUGVR,606620699431091478491,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,XQbqKKHwUGVR,606620699431091478491,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,XQbqKKHwUGVR,606620699431091478491,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW,Firenze,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,XQbqKKHwUGVR,606620699431091478491,member_of,,,,,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,XQbqKKHwUGVR,606620699431091478491,occupation,,,,,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,XQbqKKHwUGVR,606620699431091478491,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eARmqFGFiTGN,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cA2ZGRKmQjw9', 'label': 'literary host'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T6XPucm6p3fb', 'label': '(Brown 2020)'}]",Niccolò Machiavelli,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,XQbqKKHwUGVR,606620699431091478491,notable_work,,,,,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,XQbqKKHwUGVR,606620699431091478491,interested_in,,,,,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,XQbqKKHwUGVR,606620699431091478491,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,XQbqKKHwUGVR,606620699431091478491,present_in_work,,,,,,,,,,,,,,,,,,
