class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,jPuqdnNvo38V,854003827248505447302,identifier,,,,,,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,jPuqdnNvo38V,854003827248505447302,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,jPuqdnNvo38V,854003827248505447302,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,jPuqdnNvo38V,854003827248505447302,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,jPuqdnNvo38V,854003827248505447302,work_location,,,,,,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,jPuqdnNvo38V,854003827248505447302,member_of,,,,,,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,jPuqdnNvo38V,854003827248505447302,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,jPuqdnNvo38V,854003827248505447302,related_to,,,,,,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,jPuqdnNvo38V,854003827248505447302,notable_work,,,,,,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,jPuqdnNvo38V,854003827248505447302,interested_in,,,,,,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,jPuqdnNvo38V,854003827248505447302,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0681,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,jPuqdnNvo38V,854003827248505447302,present_in_work,,,,,,,,,,,,,,,,,
