class,base_name,filename,label,id,n_id,property,identifier_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Danese Cattaneo,Danese Cattaneo.md,Danese Cattaneo,gj9BfCjZJt5u,799053098320632139710,identifier,http://www.wikidata.org/entity/Q1080223,,,,,,,,,,,,,
Agent,Danese Cattaneo,Danese Cattaneo.md,Danese Cattaneo,gj9BfCjZJt5u,799053098320632139710,instance_of,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Danese Cattaneo,Danese Cattaneo.md,Danese Cattaneo,gj9BfCjZJt5u,799053098320632139710,gender,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Danese Cattaneo,Danese Cattaneo.md,Danese Cattaneo,gj9BfCjZJt5u,799053098320632139710,work_location,,,,,,,,,,,,,,
Agent,Danese Cattaneo,Danese Cattaneo.md,Danese Cattaneo,gj9BfCjZJt5u,799053098320632139710,member_of,,,,,,,,,,,,,,
Agent,Danese Cattaneo,Danese Cattaneo.md,Danese Cattaneo,gj9BfCjZJt5u,799053098320632139710,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VBUwSJM8ZoZx,sculptor,,,,,
Agent,Danese Cattaneo,Danese Cattaneo.md,Danese Cattaneo,gj9BfCjZJt5u,799053098320632139710,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9EG2tE8aFH7w,painter,,,,,
Agent,Danese Cattaneo,Danese Cattaneo.md,Danese Cattaneo,gj9BfCjZJt5u,799053098320632139710,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Danese Cattaneo,Danese Cattaneo.md,Danese Cattaneo,gj9BfCjZJt5u,799053098320632139710,related_to,,,,,,,,,,,,,,
Agent,Danese Cattaneo,Danese Cattaneo.md,Danese Cattaneo,gj9BfCjZJt5u,799053098320632139710,notable_work,,,,,,,,,,,,,,
Agent,Danese Cattaneo,Danese Cattaneo.md,Danese Cattaneo,gj9BfCjZJt5u,799053098320632139710,interested_in,,,,,,,,,,,,,,
Agent,Danese Cattaneo,Danese Cattaneo.md,Danese Cattaneo,gj9BfCjZJt5u,799053098320632139710,catalog_identifier,,,,,,,,,,,,,,
Agent,Danese Cattaneo,Danese Cattaneo.md,Danese Cattaneo,gj9BfCjZJt5u,799053098320632139710,present_in_work,,,,,,,,,,,,,,
