class,base_name,filename,label,id,n_id,property,identifier_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Girolamo Porro,Girolamo Porro.md,Girolamo Porro,mHrjzwpL9Tfa,893083745461834392173,identifier,http://www.wikidata.org/entity/Q1773381,,,,,,,,,,,,,
Agent,Girolamo Porro,Girolamo Porro.md,Girolamo Porro,mHrjzwpL9Tfa,893083745461834392173,instance_of,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Girolamo Porro,Girolamo Porro.md,Girolamo Porro,mHrjzwpL9Tfa,893083745461834392173,gender,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Girolamo Porro,Girolamo Porro.md,Girolamo Porro,mHrjzwpL9Tfa,893083745461834392173,work_location,,,,,,,,,,,,,,
Agent,Girolamo Porro,Girolamo Porro.md,Girolamo Porro,mHrjzwpL9Tfa,893083745461834392173,member_of,,,,,,,,,,,,,,
Agent,Girolamo Porro,Girolamo Porro.md,Girolamo Porro,mHrjzwpL9Tfa,893083745461834392173,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KbRyHy5gL3JT,engraver,,,,,
Agent,Girolamo Porro,Girolamo Porro.md,Girolamo Porro,mHrjzwpL9Tfa,893083745461834392173,related_to,,,,,,,,,,,,,,
Agent,Girolamo Porro,Girolamo Porro.md,Girolamo Porro,mHrjzwpL9Tfa,893083745461834392173,notable_work,,,,,,,,,,,,,,
Agent,Girolamo Porro,Girolamo Porro.md,Girolamo Porro,mHrjzwpL9Tfa,893083745461834392173,interested_in,,,,,,,,,,,,,,
Agent,Girolamo Porro,Girolamo Porro.md,Girolamo Porro,mHrjzwpL9Tfa,893083745461834392173,catalog_identifier,,,,,,,,,,,,,,
Agent,Girolamo Porro,Girolamo Porro.md,Girolamo Porro,mHrjzwpL9Tfa,893083745461834392173,present_in_work,,,,,,,,,,,,,,
