class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,country_value,country_label,identifier_value
Place,Pavia,Pavia.md,Pavia,SQTa5GhBDAkg,503388689375396822411,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YQfHpGMNj5pE,city,,,
Place,Pavia,Pavia.md,Pavia,SQTa5GhBDAkg,503388689375396822411,country,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fCq9Z2C2Jbrg,Italy,
Place,Pavia,Pavia.md,Pavia,SQTa5GhBDAkg,503388689375396822411,identifier,,,,,http://www.wikidata.org/entity/Q6259
