class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,EmKLDSN2LeAM,263308234886253934162,identifier,http://www.wikidata.org/entity/Q236050,,,,,,,,,,,,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,EmKLDSN2LeAM,263308234886253934162,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,EmKLDSN2LeAM,263308234886253934162,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,EmKLDSN2LeAM,263308234886253934162,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,EmKLDSN2LeAM,263308234886253934162,work_location,,,,,,,,,,,,,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,EmKLDSN2LeAM,263308234886253934162,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jbw4BmXheHcJ,1609.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia di San Luca di Roma,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,EmKLDSN2LeAM,263308234886253934162,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9EG2tE8aFH7w,painter,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,EmKLDSN2LeAM,263308234886253934162,related_to,,,,,,,,,,,,,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,EmKLDSN2LeAM,263308234886253934162,notable_work,,,,,,,,,,,,,,,,,,,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,EmKLDSN2LeAM,263308234886253934162,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KbxBVs3YAzhk,bizzarria,,,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,EmKLDSN2LeAM,263308234886253934162,catalog_identifier,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",19366.0,
Agent,Lavinia Fontana,,,Lavinia Fontana,Lavinia Fontana.md,EmKLDSN2LeAM,263308234886253934162,present_in_work,,,,,,,,,,,,,,,,,,,,,
