class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,identifier_value
Book,Delle imprese trattato di Giulio Cesare Capaccio,Delle imprese trattato di Giulio Cesare Capaccio.md,Delle imprese trattato di Giulio Cesare Capaccio,7XvPunncS5P9,114011183347096817095,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,
Book,Delle imprese trattato di Giulio Cesare Capaccio,Delle imprese trattato di Giulio Cesare Capaccio.md,Delle imprese trattato di Giulio Cesare Capaccio,7XvPunncS5P9,114011183347096817095,title,,,"Delle imprese trattato di Giulio Cesare Capaccio. In tre libri diuiso. Nel primo, del modo di far l'impresa da qualsiuoglia oggetto, o naturale, o artificioso con nuoue maniere si ragiona. Nel secondo, tutti ieroglifici, simboli e cose mistiche in lettere sacre, o profane si scuoprono; e come da quegli cauar si ponno l'imprese. Nel terzo, nel figurar degli emblemi di molte cose naturali per l'imprese si tratta",,,,,,,,,,,,,
Book,Delle imprese trattato di Giulio Cesare Capaccio,Delle imprese trattato di Giulio Cesare Capaccio.md,Delle imprese trattato di Giulio Cesare Capaccio,7XvPunncS5P9,114011183347096817095,inception,,,,1592.0,,,,,,,,,,,,
Book,Delle imprese trattato di Giulio Cesare Capaccio,Delle imprese trattato di Giulio Cesare Capaccio.md,Delle imprese trattato di Giulio Cesare Capaccio,7XvPunncS5P9,114011183347096817095,has_version,,,,,https://edit16.iccu.sbn.it/titolo/CNCE009062,1592.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL', 'label': 'Napoli'}]",https://jmms.iccu.sbn.it/jmms/metadata/VFdGblZHVmpZU0F0SUVsRFExVV8_/b2FpOnd3dy5pbnRlcm5ldGN1bHR1cmFsZS5zYm4uaXQvVGVjYToyMDpOVDAwMDA6Q05DRTAwOTA2Mg__/manifest.json,,,,,,,,
Book,Delle imprese trattato di Giulio Cesare Capaccio,Delle imprese trattato di Giulio Cesare Capaccio.md,Delle imprese trattato di Giulio Cesare Capaccio,7XvPunncS5P9,114011183347096817095,contributor,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G4UZA6iXzGV8,Giulio Cesare Capaccio,,,,,
Book,Delle imprese trattato di Giulio Cesare Capaccio,Delle imprese trattato di Giulio Cesare Capaccio.md,Delle imprese trattato di Giulio Cesare Capaccio,7XvPunncS5P9,114011183347096817095,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AtYFns9BtQHt,impresa,,,
Book,Delle imprese trattato di Giulio Cesare Capaccio,Delle imprese trattato di Giulio Cesare Capaccio.md,Delle imprese trattato di Giulio Cesare Capaccio,7XvPunncS5P9,114011183347096817095,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hwqY4Vjzk6Cb,emblem book,,,
Book,Delle imprese trattato di Giulio Cesare Capaccio,Delle imprese trattato di Giulio Cesare Capaccio.md,Delle imprese trattato di Giulio Cesare Capaccio,7XvPunncS5P9,114011183347096817095,has_part,,,,,,,,,,,,,,,,
Book,Delle imprese trattato di Giulio Cesare Capaccio,Delle imprese trattato di Giulio Cesare Capaccio.md,Delle imprese trattato di Giulio Cesare Capaccio,7XvPunncS5P9,114011183347096817095,based_on,,,,,,,,,,,,,,,,
Book,Delle imprese trattato di Giulio Cesare Capaccio,Delle imprese trattato di Giulio Cesare Capaccio.md,Delle imprese trattato di Giulio Cesare Capaccio,7XvPunncS5P9,114011183347096817095,identifier,,,,,,,,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE009062
