class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,SXYLRPCvCSab,505953159318202112634,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,SXYLRPCvCSab,505953159318202112634,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,SXYLRPCvCSab,505953159318202112634,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR,Ferrara,,,,,,,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,SXYLRPCvCSab,505953159318202112634,member_of,,,,,,,,,,,,,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,SXYLRPCvCSab,505953159318202112634,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Gup4VoeXGR57,politician,,,,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,SXYLRPCvCSab,505953159318202112634,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jJ96rJ2QKjkz,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oGkKAF5mXxzW', 'label': 'husband'}",Margherita Gonzaga,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,SXYLRPCvCSab,505953159318202112634,notable_work,,,,,,,,,,,,,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,SXYLRPCvCSab,505953159318202112634,interested_in,,,,,,,,,,,,,,,,,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,SXYLRPCvCSab,505953159318202112634,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",15470.0,
Agent,Alfonso II d'Este,Alfonso II d'Este.md,Alfonso II d'Este,SXYLRPCvCSab,505953159318202112634,present_in_work,,,,,,,,,,,,,,,,,
