class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Pier Maria Cecchini,Pier Maria Cecchini.md,Pier Maria Cecchini,kifVnb8v7aDc,881427228597097088899,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Pier Maria Cecchini,Pier Maria Cecchini.md,Pier Maria Cecchini,kifVnb8v7aDc,881427228597097088899,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,
Agent,Pier Maria Cecchini,Pier Maria Cecchini.md,Pier Maria Cecchini,kifVnb8v7aDc,881427228597097088899,work_location,,,,,,,,,,,,,,,,,
Agent,Pier Maria Cecchini,Pier Maria Cecchini.md,Pier Maria Cecchini,kifVnb8v7aDc,881427228597097088899,member_of,,,,,,,,,,,,,,,,,
Agent,Pier Maria Cecchini,Pier Maria Cecchini.md,Pier Maria Cecchini,kifVnb8v7aDc,881427228597097088899,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/imEvebZ5kR6C,actor,,,,,,,,,
Agent,Pier Maria Cecchini,Pier Maria Cecchini.md,Pier Maria Cecchini,kifVnb8v7aDc,881427228597097088899,related_to,,,,,,,,,,,,,,,,,
Agent,Pier Maria Cecchini,Pier Maria Cecchini.md,Pier Maria Cecchini,kifVnb8v7aDc,881427228597097088899,notable_work,,,,,,,,,,,,,,,,,
Agent,Pier Maria Cecchini,Pier Maria Cecchini.md,Pier Maria Cecchini,kifVnb8v7aDc,881427228597097088899,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,,,
Agent,Pier Maria Cecchini,Pier Maria Cecchini.md,Pier Maria Cecchini,kifVnb8v7aDc,881427228597097088899,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Pier Maria Cecchini,Pier Maria Cecchini.md,Pier Maria Cecchini,kifVnb8v7aDc,881427228597097088899,present_in_work,,,,,,,,,,,,,,,,,
Agent,Pier Maria Cecchini,Pier Maria Cecchini.md,Pier Maria Cecchini,kifVnb8v7aDc,881427228597097088899,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q3902918,,
Agent,Pier Maria Cecchini,Pier Maria Cecchini.md,Pier Maria Cecchini,kifVnb8v7aDc,881427228597097088899,described_by_source,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011)
