class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,text_value,language_value,language_label
PoeticWork,Come d'un bel desio s'accenda il core,,,Come d'un bel desio s'accenda il core,Come d'un bel desio s'accenda il core.md,DKQMTNRZtCn7,233291364347783264429,identifier,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Come d'un bel desio s'accenda il core,,,Come d'un bel desio s'accenda il core,Come d'un bel desio s'accenda il core.md,DKQMTNRZtCn7,233291364347783264429,described_by_source,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Come d'un bel desio s'accenda il core,,,Come d'un bel desio s'accenda il core,Come d'un bel desio s'accenda il core.md,DKQMTNRZtCn7,233291364347783264429,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,
PoeticWork,Come d'un bel desio s'accenda il core,,,Come d'un bel desio s'accenda il core,Come d'un bel desio s'accenda il core.md,DKQMTNRZtCn7,233291364347783264429,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6jc9ARyD7cMF,Sforza degli Oddi,,,,,,,,,,,,,,,
PoeticWork,Come d'un bel desio s'accenda il core,,,Come d'un bel desio s'accenda il core,Come d'un bel desio s'accenda il core.md,DKQMTNRZtCn7,233291364347783264429,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YmA7pRGECn4y,Del medesimo.,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,,,,,,,,,,,,
PoeticWork,Come d'un bel desio s'accenda il core,,,Come d'un bel desio s'accenda il core,Come d'un bel desio s'accenda il core.md,DKQMTNRZtCn7,233291364347783264429,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Come d'un bel desio s'accenda il core,,,Come d'un bel desio s'accenda il core,Come d'un bel desio s'accenda il core.md,DKQMTNRZtCn7,233291364347783264429,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Come d'un bel desio s'accenda il core,,,Come d'un bel desio s'accenda il core,Come d'un bel desio s'accenda il core.md,DKQMTNRZtCn7,233291364347783264429,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T5kQoJ6RQuQc,oxymoron,,,,,,,,
PoeticWork,Come d'un bel desio s'accenda il core,,,Come d'un bel desio s'accenda il core,Come d'un bel desio s'accenda il core.md,DKQMTNRZtCn7,233291364347783264429,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,
PoeticWork,Come d'un bel desio s'accenda il core,,,Come d'un bel desio s'accenda il core,Come d'un bel desio s'accenda il core.md,DKQMTNRZtCn7,233291364347783264429,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,
PoeticWork,Come d'un bel desio s'accenda il core,,,Come d'un bel desio s'accenda il core,Come d'un bel desio s'accenda il core.md,DKQMTNRZtCn7,233291364347783264429,depicts,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Come d'un bel desio s'accenda il core,,,Come d'un bel desio s'accenda il core,Come d'un bel desio s'accenda il core.md,DKQMTNRZtCn7,233291364347783264429,text,,,,,,,,,,,,,,,,,,,,"Come d'un bel desio s'accenda il core.
In mezo al duol sotto lugubri manti,
Come succedan tosto i risi a i pianti,
E come dopo Morte viva Amore,

Come nel più cocente e fero ardore
Di concorde voler, duo cari amanti
(Quasi nuova virtù di strani incanti)
Tenga spesso discordi un cieco errore,

Come la data fè candida, e chiara
Si servi, l'honestà si pregi, e s'ami
Vi è più, ch'ogni tesor, gratia, e bellezza,

Spirto gentil dal FORSENATO impara:
Mentre per prender l'alme, inesca gli hami,
E d'amaro coperti, e di dolcezza.",,
PoeticWork,Come d'un bel desio s'accenda il core,,,Come d'un bel desio s'accenda il core,Come d'un bel desio s'accenda il core.md,DKQMTNRZtCn7,233291364347783264429,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
