class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value,described_by_source_value,described_by_source_label
PoeticWork,Nasce la vita mia dal mio morire,Nasce la vita mia dal mio morire.md,Nasce la vita mia dal mio morire,ehZgrkWs7VPp,757212920997842857762,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Nasce la vita mia dal mio morire,Nasce la vita mia dal mio morire.md,Nasce la vita mia dal mio morire,ehZgrkWs7VPp,757212920997842857762,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8m32hHy87EkU,Ortensia Colonna,,,,,,,,,,,,,,,,,,,
PoeticWork,Nasce la vita mia dal mio morire,Nasce la vita mia dal mio morire.md,Nasce la vita mia dal mio morire,ehZgrkWs7VPp,757212920997842857762,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AQ4Mxw23doRC,Laura Battiferri,,,,,,,,,,,,,,,,,,,
PoeticWork,Nasce la vita mia dal mio morire,Nasce la vita mia dal mio morire.md,Nasce la vita mia dal mio morire,ehZgrkWs7VPp,757212920997842857762,part_of,,,,,,Alla S. Hortensia Colonna,21.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3gZsxzoV4qay,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,,,,,,,,,,,,,
PoeticWork,Nasce la vita mia dal mio morire,Nasce la vita mia dal mio morire.md,Nasce la vita mia dal mio morire,ehZgrkWs7VPp,757212920997842857762,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Nasce la vita mia dal mio morire,Nasce la vita mia dal mio morire.md,Nasce la vita mia dal mio morire,ehZgrkWs7VPp,757212920997842857762,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Nasce la vita mia dal mio morire,Nasce la vita mia dal mio morire.md,Nasce la vita mia dal mio morire,ehZgrkWs7VPp,757212920997842857762,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8sSx8HhcDxv6,anaphora,,,,,,,,,,,
PoeticWork,Nasce la vita mia dal mio morire,Nasce la vita mia dal mio morire.md,Nasce la vita mia dal mio morire,ehZgrkWs7VPp,757212920997842857762,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MFkDrmE7jx9f,oxymoron,,,,,,,,,,,
PoeticWork,Nasce la vita mia dal mio morire,Nasce la vita mia dal mio morire.md,Nasce la vita mia dal mio morire,ehZgrkWs7VPp,757212920997842857762,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HsE4D9BNGC9H,Petrarchism,,,,,,,,,,,
PoeticWork,Nasce la vita mia dal mio morire,Nasce la vita mia dal mio morire.md,Nasce la vita mia dal mio morire,ehZgrkWs7VPp,757212920997842857762,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,,,
