class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,identifier_value,described_by_source_value,described_by_source_label
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,Wkv4pxXXwpgB,593341187601440059692,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,Wkv4pxXXwpgB,593341187601440059692,title,,,,,,,,,,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,Wkv4pxXXwpgB,593341187601440059692,inception,,,,1567.0,,,,,,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,Wkv4pxXXwpgB,593341187601440059692,has_version,,,,,1567.0,https://books.google.be/books?id=TPzZcnBALRoC,,,,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,Wkv4pxXXwpgB,593341187601440059692,contributor,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NqAa4C6LiGN8,Girolamo Ruscelli,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,Wkv4pxXXwpgB,593341187601440059692,subject,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WziXzP4KdMYo,alchemy,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,Wkv4pxXXwpgB,593341187601440059692,based_on,,,,,,,,,,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,Wkv4pxXXwpgB,593341187601440059692,catalog_identifier,,,,,,,,,,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,Wkv4pxXXwpgB,593341187601440059692,has_part,,,,,,,,,,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,Wkv4pxXXwpgB,593341187601440059692,identifier,,,,,,,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE047660,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,Wkv4pxXXwpgB,593341187601440059692,described_by_source,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ajgtt88cevRe,(Procaccioli 2020)
