class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_holding_institution,has_version_IIIF_manifest,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_permalink,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,based_on_label,catalog_identifier_value,has_part_value,depicts_value,depicts_label,language_value,language_label
Book,Girone il cortese di Luigi Alamanni,,,Girone il cortese di Luigi Alamanni,Girone il cortese di Luigi Alamanni.md,WzC4uAhzQRBw,598142901042857414573,identifier,https://edit16.iccu.sbn.it/titolo/CNCE000607,,,,,,,,,,,,,,,,,,,,,,,,,
Book,Girone il cortese di Luigi Alamanni,,,Girone il cortese di Luigi Alamanni,Girone il cortese di Luigi Alamanni.md,WzC4uAhzQRBw,598142901042857414573,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,Girone il cortese di Luigi Alamanni,,,Girone il cortese di Luigi Alamanni,Girone il cortese di Luigi Alamanni.md,WzC4uAhzQRBw,598142901042857414573,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,,,,,,,,,,,
Book,Girone il cortese di Luigi Alamanni,,,Girone il cortese di Luigi Alamanni,Girone il cortese di Luigi Alamanni.md,WzC4uAhzQRBw,598142901042857414573,title,,,,,Girone il cortese di Luigi Alamanni al christianissimo et inuittissimo re Arrigo secondo. Nuouamente riueduto et corretto con altre agiunte del autore medesimo,,,,,,,,,,,,,,,,,,,,,
Book,Girone il cortese di Luigi Alamanni,,,Girone il cortese di Luigi Alamanni,Girone il cortese di Luigi Alamanni.md,WzC4uAhzQRBw,598142901042857414573,inception,,,,,,1549.0,,,,,,,,,,,,,,,,,,,,
Book,Girone il cortese di Luigi Alamanni,,,Girone il cortese di Luigi Alamanni,Girone il cortese di Luigi Alamanni.md,WzC4uAhzQRBw,598142901042857414573,has_version,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S8XWwiEFCvS3', 'label': 'Bibliothèque nationale de France'}",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1910335v/manifest.json,https://gallica.bnf.fr/ark:/12148/bpt6k1910335,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1549.0,http://catalogue.bnf.fr/ark:/12148/cb30006765b,,,,,,,,,,,,,,
Book,Girone il cortese di Luigi Alamanni,,,Girone il cortese di Luigi Alamanni,Girone il cortese di Luigi Alamanni.md,WzC4uAhzQRBw,598142901042857414573,has_version,,,,,,,,,https://books.google.be/books?id=kHoBbVOWSIMC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1549.0,https://edit16.iccu.sbn.it/titolo/CNCE000607,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dt83qSxSrD7X', 'label': ""Gabriele Giolito de' Ferrari""}",,,,,,,,,,,,,
Book,Girone il cortese di Luigi Alamanni,,,Girone il cortese di Luigi Alamanni,Girone il cortese di Luigi Alamanni.md,WzC4uAhzQRBw,598142901042857414573,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GfNhWec4EkAr,Luigi Alamanni,,,,,,,,,,
Book,Girone il cortese di Luigi Alamanni,,,Girone il cortese di Luigi Alamanni,Girone il cortese di Luigi Alamanni.md,WzC4uAhzQRBw,598142901042857414573,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8GvHmwR26GRn,chivalry,,,,,,,,
Book,Girone il cortese di Luigi Alamanni,,,Girone il cortese di Luigi Alamanni,Girone il cortese di Luigi Alamanni.md,WzC4uAhzQRBw,598142901042857414573,based_on,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,,,,,,
Book,Girone il cortese di Luigi Alamanni,,,Girone il cortese di Luigi Alamanni,Girone il cortese di Luigi Alamanni.md,WzC4uAhzQRBw,598142901042857414573,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,Girone il cortese di Luigi Alamanni,,,Girone il cortese di Luigi Alamanni,Girone il cortese di Luigi Alamanni.md,WzC4uAhzQRBw,598142901042857414573,has_part,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,Girone il cortese di Luigi Alamanni,,,Girone il cortese di Luigi Alamanni,Girone il cortese di Luigi Alamanni.md,WzC4uAhzQRBw,598142901042857414573,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EQa8x6MU8Hoz,art print,,
Book,Girone il cortese di Luigi Alamanni,,,Girone il cortese di Luigi Alamanni,Girone il cortese di Luigi Alamanni.md,WzC4uAhzQRBw,598142901042857414573,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/86Q2aWNHHazc,duel,,
