class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_pseudonym,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Francesco Pona,,,Francesco Pona,Francesco Pona.md,oSTLeNsMbiX6,937465158507532478830,identifier,http://www.wikidata.org/entity/Q3081061,,,,,,,,,,,,,,,,,,,,
Agent,Francesco Pona,,,Francesco Pona,Francesco Pona.md,oSTLeNsMbiX6,937465158507532478830,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nqdAXunx4Ce4,(Cosentino 2020),,,,,,,,,,,,,,,,,,
Agent,Francesco Pona,,,Francesco Pona,Francesco Pona.md,oSTLeNsMbiX6,937465158507532478830,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Francesco Pona,,,Francesco Pona,Francesco Pona.md,oSTLeNsMbiX6,937465158507532478830,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,Francesco Pona,,,Francesco Pona,Francesco Pona.md,oSTLeNsMbiX6,937465158507532478830,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PvBHcFy5Dvdr,Verona,,,,,,,,,,,,
Agent,Francesco Pona,,,Francesco Pona,Francesco Pona.md,oSTLeNsMbiX6,937465158507532478830,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RDPU3aR5Ve6g,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nqdAXunx4Ce4', 'label': '(Cosentino 2020)'}]",Eureta Misoscolo,Accademia Filarmonica di Verona,,,,,,,,
Agent,Francesco Pona,,,Francesco Pona,Francesco Pona.md,oSTLeNsMbiX6,937465158507532478830,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/65G5PeyB3GE6,playwright,,,,,,
Agent,Francesco Pona,,,Francesco Pona,Francesco Pona.md,oSTLeNsMbiX6,937465158507532478830,related_to,,,,,,,,,,,,,,,,,,,,,
Agent,Francesco Pona,,,Francesco Pona,Francesco Pona.md,oSTLeNsMbiX6,937465158507532478830,notable_work,,,,,,,,,,,,,,,,,,,,,
Agent,Francesco Pona,,,Francesco Pona,Francesco Pona.md,oSTLeNsMbiX6,937465158507532478830,interested_in,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,heterodoxy,,
Agent,Francesco Pona,,,Francesco Pona,Francesco Pona.md,oSTLeNsMbiX6,937465158507532478830,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Agent,Francesco Pona,,,Francesco Pona,Francesco Pona.md,oSTLeNsMbiX6,937465158507532478830,present_in_work,,,,,,,,,,,,,,,,,,,,,
