class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_role,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,MwVaYLG95JgW,411444979013610449269,identifier,http://www.wikidata.org/entity/Q55226987,,,,,,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,MwVaYLG95JgW,411444979013610449269,described_by_source,,,,,,,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,MwVaYLG95JgW,411444979013610449269,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,MwVaYLG95JgW,411444979013610449269,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,MwVaYLG95JgW,411444979013610449269,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Hm8LNCNr7Wxn,Firenze,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,MwVaYLG95JgW,411444979013610449269,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AQqFxXyysBUi,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/joaxpdFod2Jb', 'label': 'founder'}",Accademia degli Alterati di Firenze,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,MwVaYLG95JgW,411444979013610449269,occupation,,,,,,,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,MwVaYLG95JgW,411444979013610449269,related_to,,,,,,,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,MwVaYLG95JgW,411444979013610449269,notable_work,,,,,,,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,MwVaYLG95JgW,411444979013610449269,interested_in,,,,,,,,,,,,,,,,
Agent,Tommaso Del Nero,,,Tommaso Del Nero,Tommaso Del Nero.md,MwVaYLG95JgW,411444979013610449269,catalog_identifier,,,,,,,,,,,,,,,,
