class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_permalink,has_version_publication_date,contributor_value,subject_value,subject_label,has_part_value,based_on_value
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",hy9k3w5DkZPh,824761073091622927296,identifier,http://id.sbn.it/bid/VEAE003733,,,,,,,,,,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",hy9k3w5DkZPh,824761073091622927296,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HY889E59KdVv,(Perrucci [1699] 2008),,,,,,,,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",hy9k3w5DkZPh,824761073091622927296,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",hy9k3w5DkZPh,824761073091622927296,title,,,,,,"Dell'arte rappresentativa premeditata, ed all'improviso parti due. Giovevole non solo a chi si diletta di rappresentare; ma a' predicatori, oratori, accademici, e curiosi del dottor Andrea Perrucci",,,,,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",hy9k3w5DkZPh,824761073091622927296,inception,,,,,,,1699.0,,,,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",hy9k3w5DkZPh,824761073091622927296,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL', 'label': 'Napoli'}]",http://id.sbn.it/bid/VEAE003733,1699.0,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",hy9k3w5DkZPh,824761073091622927296,contributor,,,,,,,,,,,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",hy9k3w5DkZPh,824761073091622927296,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",hy9k3w5DkZPh,824761073091622927296,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Y6dvnErBpngV,improvisational theater,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",hy9k3w5DkZPh,824761073091622927296,has_part,,,,,,,,,,,,,,,
Book,"Dell'arte rappresentativa premeditata, ed all'improviso",,,"Dell'arte rappresentativa premeditata, ed all'improviso","Dell'arte rappresentativa premeditata, ed all'improviso.md",hy9k3w5DkZPh,824761073091622927296,based_on,,,,,,,,,,,,,,,
