class,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Adriana Basile,Adriana Basile.md,Adriana Basile,WhwwfwR9cjj9,592267104323817676960,identifier,http://www.wikidata.org/entity/Q642186,,,,,,,,,,,,,,,,,,
Agent,Adriana Basile,Adriana Basile.md,Adriana Basile,WhwwfwR9cjj9,592267104323817676960,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VrEW7dXepBZR,(Nocerino 2014),,,,,,,,,,,,,,,,
Agent,Adriana Basile,Adriana Basile.md,Adriana Basile,WhwwfwR9cjj9,592267104323817676960,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Adriana Basile,Adriana Basile.md,Adriana Basile,WhwwfwR9cjj9,592267104323817676960,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,
Agent,Adriana Basile,Adriana Basile.md,Adriana Basile,WhwwfwR9cjj9,592267104323817676960,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL,Napoli,,,,,,,,,,
Agent,Adriana Basile,Adriana Basile.md,Adriana Basile,WhwwfwR9cjj9,592267104323817676960,member_of,,,,,,,,,,,,,,,,,,,
Agent,Adriana Basile,Adriana Basile.md,Adriana Basile,WhwwfwR9cjj9,592267104323817676960,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bRregcw3FA5L,singer,,,,,,,
Agent,Adriana Basile,Adriana Basile.md,Adriana Basile,WhwwfwR9cjj9,592267104323817676960,related_to,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mGypoq67ei6s,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Jx7QABaT7gnR', 'label': 'sibling'}",Giambattista Basile,,,,
Agent,Adriana Basile,Adriana Basile.md,Adriana Basile,WhwwfwR9cjj9,592267104323817676960,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Adriana Basile,Adriana Basile.md,Adriana Basile,WhwwfwR9cjj9,592267104323817676960,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Adriana Basile,Adriana Basile.md,Adriana Basile,WhwwfwR9cjj9,592267104323817676960,catalog_identifier,,,,,,,,,,,,,,,,,,,
Agent,Adriana Basile,Adriana Basile.md,Adriana Basile,WhwwfwR9cjj9,592267104323817676960,present_in_work,,,,,,,,,,,,,,,,,,,
