class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Sperone Speroni,,['Sperone Speroni degli Alvarotti'],Sperone Speroni,Sperone Speroni.md,M3LQemJfY4di,392560980917003686891,identifier,http://www.wikidata.org/entity/Q352663,,,,,,,,,,,,,,,,,
Agent,Sperone Speroni,,['Sperone Speroni degli Alvarotti'],Sperone Speroni,Sperone Speroni.md,M3LQemJfY4di,392560980917003686891,identifier,https://lyra.unil.ch/agents/49,,,,,,,,,,,,,,,,,
Agent,Sperone Speroni,,['Sperone Speroni degli Alvarotti'],Sperone Speroni,Sperone Speroni.md,M3LQemJfY4di,392560980917003686891,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Sperone Speroni,,['Sperone Speroni degli Alvarotti'],Sperone Speroni,Sperone Speroni.md,M3LQemJfY4di,392560980917003686891,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Sperone Speroni,,['Sperone Speroni degli Alvarotti'],Sperone Speroni,Sperone Speroni.md,M3LQemJfY4di,392560980917003686891,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Sperone Speroni,,['Sperone Speroni degli Alvarotti'],Sperone Speroni,Sperone Speroni.md,M3LQemJfY4di,392560980917003686891,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,,
Agent,Sperone Speroni,,['Sperone Speroni degli Alvarotti'],Sperone Speroni,Sperone Speroni.md,M3LQemJfY4di,392560980917003686891,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5VB64Nf9sroY,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/moMvn2zeurCU', 'label': '(Occhipinti 2017)'}]",Accademia delle Notti Vaticane,,,,,,,
Agent,Sperone Speroni,,['Sperone Speroni degli Alvarotti'],Sperone Speroni,Sperone Speroni.md,M3LQemJfY4di,392560980917003686891,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Sperone Speroni,,['Sperone Speroni degli Alvarotti'],Sperone Speroni,Sperone Speroni.md,M3LQemJfY4di,392560980917003686891,related_to,,,,,,,,,,,,,,,,,,
Agent,Sperone Speroni,,['Sperone Speroni degli Alvarotti'],Sperone Speroni,Sperone Speroni.md,M3LQemJfY4di,392560980917003686891,notable_work,,,,,,,,,,,,,,,,,,
Agent,Sperone Speroni,,['Sperone Speroni degli Alvarotti'],Sperone Speroni,Sperone Speroni.md,M3LQemJfY4di,392560980917003686891,interested_in,,,,,,,,,,,,,,,,,,
Agent,Sperone Speroni,,['Sperone Speroni degli Alvarotti'],Sperone Speroni,Sperone Speroni.md,M3LQemJfY4di,392560980917003686891,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",9230.0
