class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_role,member_of_reference,member_of_start_date,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Maddalena Campiglia,,,Maddalena Campiglia,Maddalena Campiglia.md,7anjVSBTbe3C,115048652604345423607,identifier,http://www.wikidata.org/entity/Q3842277,,,,,,,,,,,,,,,,,,,
Agent,Maddalena Campiglia,,,Maddalena Campiglia,Maddalena Campiglia.md,7anjVSBTbe3C,115048652604345423607,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,
Agent,Maddalena Campiglia,,,Maddalena Campiglia,Maddalena Campiglia.md,7anjVSBTbe3C,115048652604345423607,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Maddalena Campiglia,,,Maddalena Campiglia,Maddalena Campiglia.md,7anjVSBTbe3C,115048652604345423607,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,
Agent,Maddalena Campiglia,,,Maddalena Campiglia,Maddalena Campiglia.md,7anjVSBTbe3C,115048652604345423607,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Maddalena Campiglia,,,Maddalena Campiglia,Maddalena Campiglia.md,7anjVSBTbe3C,115048652604345423607,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MgqczonTr8bm,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SqGAEzjPvbze', 'label': 'visitor'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",1580.0,Accademia Olimpica di Vicenza,,,,,,,
Agent,Maddalena Campiglia,,,Maddalena Campiglia,Maddalena Campiglia.md,7anjVSBTbe3C,115048652604345423607,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Maddalena Campiglia,,,Maddalena Campiglia,Maddalena Campiglia.md,7anjVSBTbe3C,115048652604345423607,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Maddalena Campiglia,,,Maddalena Campiglia,Maddalena Campiglia.md,7anjVSBTbe3C,115048652604345423607,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Maddalena Campiglia,,,Maddalena Campiglia,Maddalena Campiglia.md,7anjVSBTbe3C,115048652604345423607,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Maddalena Campiglia,,,Maddalena Campiglia,Maddalena Campiglia.md,7anjVSBTbe3C,115048652604345423607,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Agent,Maddalena Campiglia,,,Maddalena Campiglia,Maddalena Campiglia.md,7anjVSBTbe3C,115048652604345423607,present_in_work,,,,,,,,,,,,,,,,,,,,
