class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_role,member_reference,member_value,member_label,interested_in_value,notable_work_value,related_to_value,motto_value,identifier_value,described_by_source_value,described_by_source_label
Organisation,Comici Accesi,Comici Accesi.md,Comici Accesi,9FWwnvkHZR3H,149341567064657063868,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YDVJE5nqGm7o,theater company,,,,,,,,,,,,,,,,
Organisation,Comici Accesi,Comici Accesi.md,Comici Accesi,9FWwnvkHZR3H,149341567064657063868,inception,,,,,,,,,,,,,,,,,,
Organisation,Comici Accesi,Comici Accesi.md,Comici Accesi,9FWwnvkHZR3H,149341567064657063868,dissolved,,,,,,,,,,,,,,,,,,
Organisation,Comici Accesi,Comici Accesi.md,Comici Accesi,9FWwnvkHZR3H,149341567064657063868,location,,,,,,,,,,,,,,,,,,
Organisation,Comici Accesi,Comici Accesi.md,Comici Accesi,9FWwnvkHZR3H,149341567064657063868,official_website,,,,,,,,,,,,,,,,,,
Organisation,Comici Accesi,Comici Accesi.md,Comici Accesi,9FWwnvkHZR3H,149341567064657063868,catalog_identifier,,,,,,,,,,,,,,,,,,
Organisation,Comici Accesi,Comici Accesi.md,Comici Accesi,9FWwnvkHZR3H,149341567064657063868,member,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX', 'label': '(Ferrone 2011)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kifVnb8v7aDc,Pier Maria Cecchini,,,,,,,
Organisation,Comici Accesi,Comici Accesi.md,Comici Accesi,9FWwnvkHZR3H,149341567064657063868,interested_in,,,,,,,,,,,,,,,,,,
Organisation,Comici Accesi,Comici Accesi.md,Comici Accesi,9FWwnvkHZR3H,149341567064657063868,notable_work,,,,,,,,,,,,,,,,,,
Organisation,Comici Accesi,Comici Accesi.md,Comici Accesi,9FWwnvkHZR3H,149341567064657063868,related_to,,,,,,,,,,,,,,,,,,
Organisation,Comici Accesi,Comici Accesi.md,Comici Accesi,9FWwnvkHZR3H,149341567064657063868,motto,,,,,,,,,,,,,,,,,,
Organisation,Comici Accesi,Comici Accesi.md,Comici Accesi,9FWwnvkHZR3H,149341567064657063868,identifier,,,,,,,,,,,,,,,,,,
Organisation,Comici Accesi,Comici Accesi.md,Comici Accesi,9FWwnvkHZR3H,149341567064657063868,described_by_source,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011)
