class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,has_version_IIIF_manifest,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",Lv8EW8V8UKXk,390311432191368801165,identifier,http://www.wikidata.org/entity/Q1053313,,,,,,,,,,,,,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",Lv8EW8V8UKXk,390311432191368801165,identifier,https://edit16.iccu.sbn.it/titolo/CNCE030115,,,,,,,,,,,,,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",Lv8EW8V8UKXk,390311432191368801165,described_by_source,,,,,,,,,,,,,,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",Lv8EW8V8UKXk,390311432191368801165,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G5HRmYcA2riQ,chivalric poem,,,,,,,,,,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",Lv8EW8V8UKXk,390311432191368801165,title,,,,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso ... Tratta dal vero originale, con aggiunta di quanto manca nell'altre edittioni, et con l'allegoria dello stesso autore et con gli argomenti a ciascun canto del s. Horatio Ariosti",,,,,,,,,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",Lv8EW8V8UKXk,390311432191368801165,inception,,,,,,1575.0,,,,,,,,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",Lv8EW8V8UKXk,390311432191368801165,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE030115,1581.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR', 'label': 'Ferrara'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6rozP5T2VHGk', 'label': 'Vittorio Baldini'}",https://books.google.it/books?id=sNl2gF6WThgC,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k71664j/manifest.json,First authorized version by the author.,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",Lv8EW8V8UKXk,390311432191368801165,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/arZqofEv9YwY', 'label': 'commentator'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HYqZkM5fGv5U,Orazio Ariosto,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",Lv8EW8V8UKXk,390311432191368801165,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJZ7Qau55M9Z,Torquato Tasso,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",Lv8EW8V8UKXk,390311432191368801165,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SeFHUS9MYJuk,Crusades,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",Lv8EW8V8UKXk,390311432191368801165,has_part,,,,,,,,,,,,,,,,,,,,
Book,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso","Gierusalemme liberata, poema heroico del sig. Torquato Tasso.md",Lv8EW8V8UKXk,390311432191368801165,based_on,,,,,,,,,,,,,,,,,,,,
