class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,subclass_of_value,identifier_value,opposite_of_value,opposite_of_label
Concept,['pupil'],student,student.md,student,Zwz6KuPgWRWe,659256825833090145354,instance_of,,,,,
Concept,['pupil'],student,student.md,student,Zwz6KuPgWRWe,659256825833090145354,subclass_of,,,,,
Concept,['pupil'],student,student.md,student,Zwz6KuPgWRWe,659256825833090145354,identifier,,,http://www.wikidata.org/entity/Q48282,,
Concept,['pupil'],student,student.md,student,Zwz6KuPgWRWe,659256825833090145354,opposite_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/er6KNKXLyHaP,teacher
