class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F000440000101_PPPP00011000C,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kUiiaYvUfK7o,Isabella Andreini,,,,,,,,,,,,,,,,,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,part_of,,,,,,,,,Mad. CXXII,185-186,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7Pmih35JHCN,Rime d'Isabella Andreini padovana comica Gelosa,,,,,,,,,,,,,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2ChPz3U9tJ8r,kiss,,,,,,,,,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kVrAkrexneyx,pastoral,,,,,,,,,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fgp8aN3Fafmp,Licori,,,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bDmTfHcyfkqv,shepherd,,,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Quella bocca di rose,,,Quella bocca di rose,Quella bocca di rose.md,8Ru56tQeSMhD,132466434376995313904,text,,,,,,,,,,,,,,,,,,,,,,,,,"Quella bocca di rose
La mia vaga Licori
Tutta ridente, e bella
In premio al fin de'miei gravi dolori
Mi porga lieta (ahi scaltra Pastorella)
Ecco i' la bacio, ed ella,
Che'n bocca asconde l'amorose Faci
M'incende l'alma co' suoi dolci baci."
