class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,catalog_identifier_source
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,jdU8LTzmAMxT,858908904881244968428,identifier,http://www.wikidata.org/entity/Q55225153,,,,,,,,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,jdU8LTzmAMxT,858908904881244968428,described_by_source,,,,,,,,,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,jdU8LTzmAMxT,858908904881244968428,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,jdU8LTzmAMxT,858908904881244968428,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,jdU8LTzmAMxT,858908904881244968428,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/icjGncFExzV8,Brescia,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,jdU8LTzmAMxT,858908904881244968428,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UYFC35JKqtHg,Accademia degli Occulti di Brescia,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,jdU8LTzmAMxT,858908904881244968428,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,jdU8LTzmAMxT,858908904881244968428,related_to,,,,,,,,,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,jdU8LTzmAMxT,858908904881244968428,notable_work,,,,,,,,,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,jdU8LTzmAMxT,858908904881244968428,interested_in,,,,,,,,,,,,,,,,,
Agent,Bartolomeo Arnigio,Bartolomeo Arnigio,,Bartolomeo Arnigio,Bartolomeo Arnigio.md,jdU8LTzmAMxT,858908904881244968428,catalog_identifier,,,,,,,,,,,,,,,,15730.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}"
