class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label,identifier_value
Agent,Angelica,Angelica.md,Angelica,KdpUz4v9w5E3,363776638764975610582,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGQNJxxjkLkV,literary character,,,,,,,,,,,,,
Agent,Angelica,Angelica.md,Angelica,KdpUz4v9w5E3,363776638764975610582,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,
Agent,Angelica,Angelica.md,Angelica,KdpUz4v9w5E3,363776638764975610582,work_location,,,,,,,,,,,,,,,
Agent,Angelica,Angelica.md,Angelica,KdpUz4v9w5E3,363776638764975610582,member_of,,,,,,,,,,,,,,,
Agent,Angelica,Angelica.md,Angelica,KdpUz4v9w5E3,363776638764975610582,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MP7QJCKH94z7,princess,,,,,,,
Agent,Angelica,Angelica.md,Angelica,KdpUz4v9w5E3,363776638764975610582,related_to,,,,,,,,,,,,,,,
Agent,Angelica,Angelica.md,Angelica,KdpUz4v9w5E3,363776638764975610582,notable_work,,,,,,,,,,,,,,,
Agent,Angelica,Angelica.md,Angelica,KdpUz4v9w5E3,363776638764975610582,interested_in,,,,,,,,,,,,,,,
Agent,Angelica,Angelica.md,Angelica,KdpUz4v9w5E3,363776638764975610582,catalog_identifier,,,,,,,,,,,,,,,
Agent,Angelica,Angelica.md,Angelica,KdpUz4v9w5E3,363776638764975610582,present_in_work,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,
Agent,Angelica,Angelica.md,Angelica,KdpUz4v9w5E3,363776638764975610582,present_in_work,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LgvtnF7kZsg4,D'Angelica di m. Pietro Aretino due primi canti,
Agent,Angelica,Angelica.md,Angelica,KdpUz4v9w5E3,363776638764975610582,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q48853
