class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Cinzio Passeri Aldobrandini,,,Cinzio Passeri Aldobrandini,Cinzio Passeri Aldobrandini.md,NSMErrgyoCDj,421528908247621441211,identifier,http://www.wikidata.org/entity/Q710327,,,,,,,,,,,,,,,,,,
Agent,Cinzio Passeri Aldobrandini,,,Cinzio Passeri Aldobrandini,Cinzio Passeri Aldobrandini.md,NSMErrgyoCDj,421528908247621441211,described_by_source,,,,,,,,,,,,,,,,,,,
Agent,Cinzio Passeri Aldobrandini,,,Cinzio Passeri Aldobrandini,Cinzio Passeri Aldobrandini.md,NSMErrgyoCDj,421528908247621441211,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Cinzio Passeri Aldobrandini,,,Cinzio Passeri Aldobrandini,Cinzio Passeri Aldobrandini.md,NSMErrgyoCDj,421528908247621441211,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,
Agent,Cinzio Passeri Aldobrandini,,,Cinzio Passeri Aldobrandini,Cinzio Passeri Aldobrandini.md,NSMErrgyoCDj,421528908247621441211,work_location,,,,,,,,,,,,,,,,,,,
Agent,Cinzio Passeri Aldobrandini,,,Cinzio Passeri Aldobrandini,Cinzio Passeri Aldobrandini.md,NSMErrgyoCDj,421528908247621441211,member_of,,,,,,,,,,,,,,,,,,,
Agent,Cinzio Passeri Aldobrandini,,,Cinzio Passeri Aldobrandini,Cinzio Passeri Aldobrandini.md,NSMErrgyoCDj,421528908247621441211,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rfdm5oYMwDjo,cardinal,,,,,,,,,
Agent,Cinzio Passeri Aldobrandini,,,Cinzio Passeri Aldobrandini,Cinzio Passeri Aldobrandini.md,NSMErrgyoCDj,421528908247621441211,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kUiiaYvUfK7o,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM', 'label': 'patron of the arts'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7Pmih35JHCN', 'label': ""Rime d'Isabella Andreini padovana comica Gelosa""}]",Isabella Andreini,,,,,
Agent,Cinzio Passeri Aldobrandini,,,Cinzio Passeri Aldobrandini,Cinzio Passeri Aldobrandini.md,NSMErrgyoCDj,421528908247621441211,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Cinzio Passeri Aldobrandini,,,Cinzio Passeri Aldobrandini,Cinzio Passeri Aldobrandini.md,NSMErrgyoCDj,421528908247621441211,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Cinzio Passeri Aldobrandini,,,Cinzio Passeri Aldobrandini,Cinzio Passeri Aldobrandini.md,NSMErrgyoCDj,421528908247621441211,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",5221.0,
Agent,Cinzio Passeri Aldobrandini,,,Cinzio Passeri Aldobrandini,Cinzio Passeri Aldobrandini.md,NSMErrgyoCDj,421528908247621441211,present_in_work,,,,,,,,,,,,,,,,,,,
