class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_pseudonym,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value,identifier_value
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,6jc9ARyD7cMF,97603712333695036870,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,6jc9ARyD7cMF,97603712333695036870,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,6jc9ARyD7cMF,97603712333695036870,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7ot3ZWvYYdmA,Perugia,,,,,,,,,,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,6jc9ARyD7cMF,97603712333695036870,member_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJz77hnWWSNh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjLg2AKb7hoK', 'label': '(Teza 2017)'}]",Forsennato,Accademia degli Insensati di Perugia,,,,,,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,6jc9ARyD7cMF,97603712333695036870,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/65G5PeyB3GE6,playwright,,,,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,6jc9ARyD7cMF,97603712333695036870,related_to,,,,,,,,,,,,,,,,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,6jc9ARyD7cMF,97603712333695036870,notable_work,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YmA7pRGECn4y,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,6jc9ARyD7cMF,97603712333695036870,interested_in,,,,,,,,,,,,,,,,,,,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,6jc9ARyD7cMF,97603712333695036870,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",9001.0,
Agent,['Sforza Oddi'],Sforza degli Oddi,Sforza degli Oddi.md,Sforza degli Oddi,6jc9ARyD7cMF,97603712333695036870,identifier,,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q16268327
