class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia dei Virtuosi di Perugia,Accademia dei Virtuosi di Perugia.md,Accademia dei Virtuosi di Perugia,cAJzBhJFpN7o,704624745380606554083,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,
Organisation,Accademia dei Virtuosi di Perugia,Accademia dei Virtuosi di Perugia.md,Accademia dei Virtuosi di Perugia,cAJzBhJFpN7o,704624745380606554083,inception,,,,,,,,,,,,,
Organisation,Accademia dei Virtuosi di Perugia,Accademia dei Virtuosi di Perugia.md,Accademia dei Virtuosi di Perugia,cAJzBhJFpN7o,704624745380606554083,dissolved,,,,,,,,,,,,,
Organisation,Accademia dei Virtuosi di Perugia,Accademia dei Virtuosi di Perugia.md,Accademia dei Virtuosi di Perugia,cAJzBhJFpN7o,704624745380606554083,location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7ot3ZWvYYdmA,Perugia,,,,,,,
Organisation,Accademia dei Virtuosi di Perugia,Accademia dei Virtuosi di Perugia.md,Accademia dei Virtuosi di Perugia,cAJzBhJFpN7o,704624745380606554083,official_website,,,,,,,,,,,,,
Organisation,Accademia dei Virtuosi di Perugia,Accademia dei Virtuosi di Perugia.md,Accademia dei Virtuosi di Perugia,cAJzBhJFpN7o,704624745380606554083,catalog_identifier,,,,,,,,,,,,,
Organisation,Accademia dei Virtuosi di Perugia,Accademia dei Virtuosi di Perugia.md,Accademia dei Virtuosi di Perugia,cAJzBhJFpN7o,704624745380606554083,member,,,,,,,,,,,,,
Organisation,Accademia dei Virtuosi di Perugia,Accademia dei Virtuosi di Perugia.md,Accademia dei Virtuosi di Perugia,cAJzBhJFpN7o,704624745380606554083,interested_in,,,,,,,,,,,,,
Organisation,Accademia dei Virtuosi di Perugia,Accademia dei Virtuosi di Perugia.md,Accademia dei Virtuosi di Perugia,cAJzBhJFpN7o,704624745380606554083,notable_work,,,,,,,,,,,,,
Organisation,Accademia dei Virtuosi di Perugia,Accademia dei Virtuosi di Perugia.md,Accademia dei Virtuosi di Perugia,cAJzBhJFpN7o,704624745380606554083,related_to,,,,,,,,,,,,,
Organisation,Accademia dei Virtuosi di Perugia,Accademia dei Virtuosi di Perugia.md,Accademia dei Virtuosi di Perugia,cAJzBhJFpN7o,704624745380606554083,motto,,,,,,,,,,,,,
